coordenada,calificacion,comentario
"-12.0773039,-77.1696105,11z",4,"Buena atención y el buen sabor se mantiene, los platos de la mejor calidad. Fueron super amables con mi familia. Es un restaurante que siempre se encuentra full sobre todo fines de semana, sin embargo fui un día de semana laboral y como a…"
"-12.0773039,-77.1696105,11z",3,"Nada del otro mundo.
Regrese a Sonia después de mucho tiempo y me parece que desmejoró mucho la calidad del chef.…"
"-12.0773039,-77.1696105,11z",4,"Si bien la comida es deliciosa, quizás los precios son más elevados de lo que podrían ser. Es un restaurante con bastante historia y muy tradicional. El estilo de cocina es bastante clásico en cuanto a cevichería respecta. El lugar es lindo, la música buena y la atención amable."
"-12.0773039,-77.1696105,11z",5,"He vuelto después de muchos años y debo decir que sigue siendo tan rico como lo recuerdo, con su buen ambiente, música de cajón, buen servicio y hasta rapidez. Variedad de platos de pescados y mariscos. Lo recomiendo."
"-12.0773039,-77.1696105,11z",1,"Vi los reviews y por eso fuimos probar a este cevicheria, en si los platos y la jarra de bebida está más caro que los cevicheria normales de su nivel. Pedimos la ronda fría que cuesta 120 soles que está caro y la calidad y cantidad de…"
"-12.0773039,-77.1696105,11z",1,"Pedí una parihuela, que no fue nada de mi agrado, tenía demasiado chuño es decir no era un caldo espeso, sino una especie de viscoso
Mi esposa pidió un arroz con mariscos y tampoco fue de el agrado de mi esposa…"
"-12.0773039,-77.1696105,11z",4,"Me gustó estos dos platos, estuve delicioso 😋…"
"-12.0773039,-77.1696105,11z",5,"Este lugar es super caleta, atienden a puerta cerrada. Ir a comer por aquí no solo fue un almuerzo sino toda una experiencia. Tiene un ambiente super familiar, música bien peruana en vivo (cover 10 soles aparte de los que pidas). La comida…"
"-12.0773039,-77.1696105,11z",1,Nos dejaron esperando en la puerta. Le pedimos al administrador que nos haga esperar adentro y nos dijo con desdén que no podía garantizar seguridad y que roban en todos lados.…
"-12.0773039,-77.1696105,11z",1,La seguridad del local es pésima. Te hacen esperar afuera del local. Ya que en el local atienden a puerta cerrada. Afuera del local pasan gente de mal vivir que en cualquier momento te ROBAN. Su respuesta de la recepción cuando le pedimos…
"-12.0773039,-77.1696105,11z",5,Excelente lugar para comer pescado en Lima. Calidad máxima a precio razonable. Buen ambiente y muy buen servicio.
