titulo,coordenada,calificacion,comentario
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",4,Rico pollo a la brasa. Antes tenían una ensalada de col espectacular 😋. Ya no la sirven buuuiuu. Pero pollo y papas son buenos. Hay varios platos…
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",5,"Ha bajado mucho en servicio y variedad. Era casi tradicional comer una Trucha excelente... Qué pena, YA NO HAY!!!!"
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",4,"Es un lugar tranquilo, los precios son asequibles. El pollo a la brasa es rico, lo sirven con papas naturales y se complementa muy bien con la ensalada 👌 recomendado…"
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",5,Excelente atención y muy buena comida al mejor precio
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",4,"Un lugar agradable, la comida excelente solo mejorar la temperatura del ambiente."
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",4,Ésta pollería la conozco años cuándo estaba en los comienzos en la esquina de Angamos con Suárez lo que hoy en día es Mac Arthur su pollo es muy bueno de rico sabor dan bastante papitas y su ensalada a mejorado bastante. De verdad lo recomiendo. Ah y el pollo es de buen tamaño
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",3,Buena comida variada. Lo unico es sirven poco para mi gusto
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",5,"Tradicional pollería de Miraflores. Tienen salsa de la casa. Probe un lomo saltado y estaba perfecto. Económico tienen distintas preparaciones, se especializan en pollos asados. Rica su chicha."
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",4,"Atención rápida, poca gente y buen lugar para conversar"
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",5,Muy buena atencion y esmero
"ATTOS RESTAURANTE, POLLOS Y PARRILLAS","-12.1162513,-77.0312671,17z",5,"Rico pollo a la brasa,  buena atención, sitio tranquilo que permite disfrutar el momento."
