titulo,coordenada,calificacion,comentario
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",4,Pedimos platos a la carta: salmón y carne a la parrilla. Los platos estuvieron exquisitos. El ambiente es agradable y familiar. Ayer Domingo había música criolla. Lo único por mejorar es que los platos demoraron pero nos habían avisado de…
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",4,"Buen ambiente, buenos insumos. Podrían mejorar la atención y la variedad de los platos en el buffet criollo."
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",5,"El sitio es super lindo, tranquilo y muy buena atención. La comida muy rica en especial la lasaña y el lomo saltado. Recomendado."
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",5,"100% recomendable. Lo único que se debe tener en cuenta es que se trata del restaurante del hotel en donde se sirve el desayuno y almuerzo buffet y por la noche cena a la carta. La comida, los cócteles, la atención y los precios todo muy bueno"
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",3,Bonito lugar y variedad de opciones; sin embargo pedí huevos benedictinos pero solo me dieron pan con huevo y un poco de yema (sin salsa holandesa) además que los omeletes parecían una tortilla doblada; me decepcioné puesto que tenia muchas…
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",4,"Acudí al almuerzo criollo buffet por el día de la madre. Las entradas eran papa a la huancaína y Ocopa. Había poca variedad de verduras (lechugas, tomate, pepino, zanahoria, zucchini y berenjena a la parrilla)…"
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",3,"Lo único para salvar de este bufete es la barra de ceviches, leches de tigre y tiraditos (todo delicioso)…  el arroz con mariscos y la barra de comida criolla son feos, nada qué ver, sólo ofrecen cara pulcra, sopa seca, un tallarín marrón,…"
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",3,"Tuve mucha espectativa para este lugar , decian que preparaban huevos Benedictinos , iba para probar eso y el chicharron , pero lamentable fue cuando llegaron , la presentación del plato estuvo bonita , pero no tenia la salsa holandesa que…"
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",5,Lo mejor el tea time!
Alma Cocina Viva,"-12.1220962,-77.0310092,17z",5,"Roxana nos atendió excelente súper amable, proactiva, no nos podemos quejar de su atención ni de la comida. Fue el buffet tea. El ambiente muy relax tranquilo para una buena charla. Todas quedamos encantadas con la atención y la comida en variedad opciones. Para personas vegetarianas , veganas y carnívoras el último caso como yo"
