titulo,coordenada,calificacion,comentario
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",3,"Fui con mis papás un lunes para almorzar y si bien la expedición a fue buena hubieron algunos puntos que no nos gustaron en los platos que pedimos. Ordenamos un lomo saltado, ají de gallina, rocoto relleno y unos anticuchos. De todos estos…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"Muy buena comida peruana y el servicio perfecto! Jacker David, el camarero, ha sido muy atento y amigable.…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",2,"Demoran demasiado para servir tanto las bebidas como los platos.
3 minutos para un trago (aunque estuvieron aceptables) y 1 hora y media para una plato... 2 platos del menú del día demoraron casi 2 horas en salir y no los…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",3,"Amaba este restaurante, pero han cambiado sus recetas, y se ha bajado muchísimo la calidad. Han cambiado por ejemplo la lechuga de sus ensaladas, y tiene menos palta. Ahora se usa lechuga americana 😕, ahora no tiene choclo, tiene menos…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",4,"La atención súper buena, los platos bien servidos y el sabor bastante bueno, no espectacular. Fuimos por una oferta con CMR y la verdad el restaurante es bastante bueno. Cuando están full la comida demora mucho en llegar, eso sí. Los fondos…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"Es un lindo lugar para compartir, es acogedor y con buenos platos."
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"Excelente. El lugar es acogedor. De repente le falta un poquito más de iluminación. La atención es 5/5, aunque fui cuando había poca gente. Pedí lomo saltado y ajo de gallina. Buenísimos. Las limonadas también, buenísimas. El costo es un…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"Fuimos a la hora del almuerzo y quedamos fascinados. Un lugar lindo, con un concepto bien pensando, atendimiento de primera y una comida estupenda. Me he quedado sorprendida del nivel en el servicio que hay en este restaurante que cuida a…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"Seleccioné este lugar para visitarlo con mi jefe. Bonita decoración, buena atención por parte del mozo (quien además lo escuché hablando en inglés con una cliente que entró después). La comida tiene excelente sabor, yo pedí una Truchita que…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"¡Excelente comida!, el ambiente es muy acogedor e impecable. El servicio ni qué decir. La mejor causa de pollo que he comido en mi vida. Totalmente recomendado."
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",4,"Excelente comida, muy agradable y buen ambiente. El único problema fue que llegaron dos grupos bastante grandes y el lugar se tornó ruidoso."
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",1,"El ají de gallina más malo que he comido. Carne poco tierna, sobre cocida. Una vergüenza de plato. Pésima opción. La atención amable pero muy, muy lenta."
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",2,"Fui porque tenia Buenos reviews, pero mi esperiencia no  fue  buena, No habia ingredientes para los aperitivos, No habia gaseosas heladas, no Tienen vino dulce solo seco, pedimos una sopa de zapallo no tenia sal, pan remojado  en la sopa…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"100% recomendado! La comida estuvo exquisita (el tacutacu de langostinos espectacular) y la atención impecable, con la amabilidad que solo se encuentra en Perú."
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"Deliciosos platos y precio justo, muy buen trato, parqueos solo para tres autos"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,Muy Versátil!! Excelente atención de Jorge y el Mestre principal. Un deleite de sabores. Cocina abierta estilo Astrid & Gastón. Decoración muy agradable. 100% Recomendable
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,"En Asnapa disfrutarás de los sabores de la comida, la calidez del servicio y lo acogedor del ambiente. Prueben su buenísimo lomo saltado, su extraordinario arroz con pato y su riquísimo ají de gallina!... Sabores que te llevan de viaje a la…"
Asnapa Restaurante,"-12.1221333,-77.0321762,17z",5,Platillos muy agradables al paladar y a la vista! Muy recomendable el postre crema volteada!
