titulo,coordenada,calificacion,comentario
Barra Maretazo,,5,"Lugar encantador, bonito y con empleados súper amables!
La comida está muy sabrosa y los platos son muy generosos así que no pidas con gula o no podrás terminarte los platos!…"
Barra Maretazo,,5,"Estaba todo espectacular. Pedimos el especial que combinaba dos de los cuatro platos más pedidos, y no me extraña que lo sean. Los chicharrones de calamares mis favoritos. El servicio súper amable y atento, 10/10."
Barra Maretazo,,5,"Grata sorpresa este lugar y fui de noche a gozar de su excelente comida marina. Llegué con ciertas dudas al lugar, pero su comida muy buena. Y los platos son bondadosos en tamaño.…"
Barra Maretazo,,2,"El lugar muy interesante, y con buena comida! La experiencia no muy buena, la entrada llego al final del plato de fondo, que fue muuuuy mal!!! Y se equivocaron con un plato y trataron de decir que fue nuestra culpa, cuando no lo era… puesto…"
Barra Maretazo,,5,"El paraíso del ceviche.
Las imágenes valen más que mil palabras.
La carta es muy amplia y todo lo que se cocina se puede ver en la misma barra…"
Barra Maretazo,,5,"Restaurante muy original. Comida riquísima, atención buena y buenos precios.
Fuimo de noche y tuvimos suerte de tener lugar. También acompañamos de piscos de muy buen sabor.…"
Barra Maretazo,,5,"Lo pasamos genial, la comida exquisita. Precio calidad excelente. Nos atendieron como reyes, nos trajeron varias cortesías y todo lo que probamos y además lo que pedimos maravilloso."
Barra Maretazo,,5,"Precioso lugar con mucho encanto en Miraflores para comer ceviche o platos de marisco. A destacar, el arroz de marisco y la pasta de gambas, así como el ceviche. Los empleados son amables y serviciales (Gracias Anthony por todo!).  100% recomendable!"
Barra Maretazo,,5,Excelente comida. Raciones muy abundantes. Tiradito delicioso. Atendidos por Anthony quien tuvo un trato amable y cariñoso. Recomendable 100%. Si volvemos al Miraflores repetiremos.
Barra Maretazo,,5,Me encanta la comida peruana que hacen en este lugar. La comida y los tragos están espectaculares. El trato de los camareros es muy bueno. He ido varias veces y siempre he salido muy contento. He repetido varías veces y a cuál mejor. Nunca he repetido platos y siempre me ha encantado.
Barra Maretazo,,4,"4/5 Comida rica y buen ambiente y atención.
Fui por primera ves en el 2021 en ese momento sin duda el mejor arroz con mariscos que probé, luego fui en 2022 y este año en abril 2023. La comida ha…"
Barra Maretazo,,5,"Sinceramente de las mejores experiencias culinarias que tuve en mi estadía en Perú, todo fue una explosión de sabor. Realmente se preocupan por dar un servicio de calidad, da gusto el trato del staff en esta ocasión fue Milko, que agradable…"
Barra Maretazo,,5,"Buena comida y atención. La persona que me  atendió fue cuidadosa al consultar si alguien de la mesa tenía alergias - en verdad sino me lo preguntan, no lo cuento, amo tanto los pescados y mariscos que hasta a veces olvidó mencionar que soy…"
Barra Maretazo,,5,"Lo mejor de lima definitivamente,la frescura del marisco y las recetas te ponen a flotar ,una explosión de sabores de principio a fin sin duda una experiencia increíble.…"
Barra Maretazo,,5,"Excelente cevichería. El personal es muy atento y te hacen sentir bienvenido. La sazón es muy buena y la presentación de los platillos es espectacular. El lugar no es muy grande, por lo que es mejor hacer una reservación, sin embargo pueden…"
Barra Maretazo,,5,"Muy buen ceviche, el arroz chaufa y los chicharrones, todo exquisito pero no puedes irte sin probar el suspiro limeño, deli!! Y la atención de Raúl, lo más!!! Totalmente recomendable en tu visita a Lima."
Barra Maretazo,,5,"Buena comida. El precio es elevado, pero también tienen el detalle de darte un entrante “de cortesia”, antes del plato principal; y también maíz tostado.
Nosotros hicimos el combo de 55 s/ con Pisco. El Pisco no nos gustó demasiado… pero la comida estaba riquísima 👌🏻…"
Barra Maretazo,,5,"Un lugar bonito y agradable para compartir en pareja. La comida estuvo muy deliciosa, nos pedimos una parihuela, un dúo (ceviche + chaufa de mariscos) y mini causitas; adicionalmente, nos dieron un aperitivo de cortesía. Por otro lado, el…"
Barra Maretazo,,5,"Que comida tan deliciosa!! El ceviche tenía un sabor buenísimo, nos encantó. Definitivamente me gustaría regresar a probar mas cosas del menú."
Barra Maretazo,,4,"Los precios son un poco altos por la cantidad que sirven en los platos, lo compesa que son ricos y frescos. Yo me pedí un barra en la que se puede combinar 2 platos, lo que para ser almuerzo me dejo satisfecha, más una bebida de piñamanto…"
Barra Maretazo,,3,"Muy buena atención. El local es muy bonito y tienen variedad en platos marinos, yo no como pescado pero probé el lomo saltado y estaba bien."
Barra Maretazo,,4,"Lugar agradable, limpio, excelente servicio al cliente, comida deliciosa, no sirven mucho pero es suficiente, el precio es cómodo."
Barra Maretazo,,4,"Me encantó! Los platos estaban buenísimos, buena presentación, bien servidos y a buen precio. Los meseros son super atentos, joviales y con una paciencia única. Éramos un grupo de más de 20 personas y se acordaron de todos nuestros nombres,…"
Barra Maretazo,,5,"Excelente lugar para degustar comida peruana, la atención es increíble y la comida de lo mejor."
Barra Maretazo,,5,"La comida es buenísima, todo estaba súper delicioso y el servicio también son súper atentos y cuidan los detalles.
Volveré!"
Barra Maretazo,,5,"Muy buen lugar, excelente atención de los trabajadores, y lo mejor la comida riquísima,"
Barra Maretazo,,5,"Buena decoración que hace más agradable tu estancia, buena ubicación, personal amable y pintoresco. La comida estuvo buena, lo calificaría como una apuesta segura.…"
Barra Maretazo,,4,"Muy rico el ceviche y el pulpo.
Para regresar!!!
Calidad/precio"
Barra Maretazo,,3,Bueno les comentaré que los platos son como cualquier plato . Yo comí un chupe de langostinos. Cuando creo que debió ser de camarones . En fin su comida si está pasable osea . Más o menos rico... Si alguien es exigente con lo que come. Pues…
Barra Maretazo,,5,Desde que te reciben la experiencia es hermosa. El ambiente muy cálido y su personal increíble.
Barra Maretazo,,3,"Local muy ruidoso. No hacen la causa con papa amarilla sino con una más barata menos rica, además de baja de limón y sal. El pescado que usan es muy fibroso. El chico que nos atendió fue muy atento."
Barra Maretazo,,5,"Excelente cevichería, te reciben con unas conchitas de cortesía deliciosas, los platos son muy buenos, como el Arroz Chaufa con Ceviche. La atención del personal es muy cordial y atenta. Los precios son moderados pero vale la pena pagar por la experiencia en general."
Barra Maretazo,,5,"Desde que ingresas a barra maretazo es una gran experiencia, el servicio es súper y la comida ni que decir ❤️ es mi restaurante top en comida marina"
Barra Maretazo,,5,"La
Comida es realmente muy rica."
Barra Maretazo,,4,"Pedí una promoción de dos platillos ,el ceviche está rico ,pedí que pícara y no enchilaba nada . El arroz con mariscos estaba delicioso . No recomiendo el arroz chaufa de pescado ,no estaba tan rico."
Barra Maretazo,,5,"El local no es muy grande, pero el servicio es eficiente y la comida deliciosa. Menú creativo y buena relación precio/calidad."
Barra Maretazo,,5,"Atención de lujo, local con mucha onda, calidad y cantidad super bien. Se agradecen los sour y ceviches de cortesía. Volvería 100%. Lo único, le daría un poco más de cocción al arroz, el resto de primer nivel"
Barra Maretazo,,5,"Lo recomiendo al 💯, excelente atención y sobre todo muy rápida y amable. Me encantó el sabor de sus platos, es una buena opción para almorzar si tu preferencia son ingredientes del mar, está ubicado en la mejor zona de Miraflores. Me encantó el ambiente que es muy acogedor, el ceviche es perfecto y no se diga el arroz chaufa.…"
Barra Maretazo,,5,"Sitio agradable, comida rica y fresca. Buena relación calidad-precio. Atención excelente. Repetiremos seguro."
