titulo,coordenada,calificacion,comentario
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Ya es la quinta vez que vengo y siempre lo recomiendo, es una cevichería con ls 3 B, también tiene buenas presentaciones de platos y la atención es muy amable, quiero probar todos sus platos :p"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,"Buena atención , cumplen con los protocolos de desinfección , distanciamiento sobre otras mesas se podría decir 1m , sobre la comida tiene variedad y es preparada al momento  , para el precio y calidad excelente ; recomendable venir solo o en familia , lugar amplio , un pequeño aporte con las fotos."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,"Muy buena comida, los platos accesibles y excelente atención, lo único si aumentar la ventilación ya que por momentos se siente el bochorno de la cocina"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Un lugar muy comodo y acogedor, respetando los protocolos de bioseguridad, los platillos que ofrecen son de calidad, fui por mi cumpleaños y el de mi esposa y nos obsequiaron un trago a cada uno totalmente gratis, muy buen servicio"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",3,Buena sazón pero muy lenta la atención
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Muy rico y agradable 😋…
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Un lugar para compartir con familiares,amigos y sobre todo la comodidad en todo sentido .buena música."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Muy bueno!! Recomendado, buena sazón."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,Muy bueno.. Ni caro ni barato... Vale la pena
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Muy bueno
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Es la primera vez que voy a la chuchería pero comore tallarines saltados y leche de tigre. Me encantó los tallarines por eso le pongo 5 estrellas, buenazo y la leche de tigre muy bueno, solo le faltaba un poco mas de picor."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",3,"Me atendieron Bien, puedes pedir variedades en pescados y mariscos. Aceptable Sabor. Su parqueadero es limitado, No Tiene parqueadero propio."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,"Me gustó mucho el arroz con mariscos y los tequeños 🤤 buen lugar, familiar. Tienen delivery…"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Ricos platos marinos y criollos
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,Rico y buen precio
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",2,Regular muy cara la cerveza no hay buena atención y toman las personas con menores de edad a su costado
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Excelente atención y muy rico el pulpo a la parrilla y el pescado a la brasa.
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Buena atención al comensal,bonito el lugar y la comida...todo excelente 👍…"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Muy rica la comida, es muy lindo para pasarla en familia"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",3,Buena la comida pero demoran más de lo esperado en un restaurante
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,"Los sábados hay música en vivo, poco espacio para estacionarse afuera del local."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Execelente lugar, muy buen ambiente"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,"Buen lugar, bueno, rico y barato"
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",1,"No tenía sabor el pescado a la brasa ,la cancha quemada,en realidad ni una pisca de SAL."
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Muy rico. Excelente atención.
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",4,Buena opción
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Mi y rico
Cevicheria Olla Marina de Comas y Delivery Lima Norte,"-11.9284736,-77.0939935,13z",5,Muy buena sazón y atención esmerada
