titulo,coordenada,calificacion,comentario
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",5,"Buenos postres, comida criolla y su broster delicioso, recomendable"
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",4,"Uno de los mejores broasters de Lima Norte, definitivamente exquisito, vale la pena ir, solo atienden para llevar, lo único malo es que no se puede hacer pedido por teléfono para que lo preparen mientras estás en camino, puedes pagar con…"
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",4,"La comida ely los postres son excelentes, es por eso que la gente hace cola para comprar. Además que en las noches no hay mucha oferta de comida de casa.
Pero no entregan boleta, se puede pagar cin yape y plin."
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",5,"Todo muy delicioso, buenas cremas y sazón, además preparan la mejor torta de chocolate, por algo hay que hacer fila desde temprano, nada más que aportar Joaquín."
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",5,"La comida excelente y los postres ni que decir es una delicias 😋
Lo único es malo es que demoran en atender pero es por la demanda pero quizás un poco más de rapidez.…"
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",4,"Tengo que admitirlo, fue una recomendación de a voz, si usted pasa por la calle solo vera una casa normal sin letreros ni algo en qué se  autoproclame rico y delicioso…"
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",5,"Este lugar nos encanta. Van a encontrar variedad de platos criollos en un solo lugar, también postres. Eso si hay que ir temprano porque se acaba rápido ☝️"
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",5,Muy buena comida y variedades de lunes a viernes a partir de las 6 pm
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",2,Muy rico y todo pero el esperar demasiado en caja y luego en recibir la comida es casi una hora y un abuzo
Cevicheria “Don Sebas El Pescador “,"-11.9422455,-77.138299,13z",5,"Su torta de chocolate es la mejor, super buena, la causa igual y su broaster también. Súper recomendado! 🫶🏻
Solo para llevar.…"
