titulo,coordenada,calificacion,comentario
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",4,"Pedí entrada causa de pulpa de cangrejo 7/10
Ronda mixta con ceviche (le faltaba acidez) chicharrón de pescado y calamar delicioso, arroz con mariscos tmb excelente sabor…"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,Muy rico a precio accesible excelemte sazon ... solo falta un poco mas de adornos turisticos y ventilacion pero en lo demas excelente.
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",4,"Es un buen restaurante por calidad precio, pero tiene cosas que mejorar, detalles como una mejor sazón, la canchita que muchas veces es dura, la capacitación de los mozos que olvidan traer algún vaso o cubierto. También falta mas ventiladores o un aire acondicionado por el intenso calor."
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,"La comida es super rica y fresca, la atención  es excelente, me atendieron super rapido, todo limpio y con protocolos de seguridad, en este caso pedi unos choritos a la Chilaca y una ronda mixta, éramos 2 personas y sobro. Fácil pueden comer 3"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,"Bonito lugar, atención rápida. Muy buena atención. La comida muy agradable, no es la mejor pero está muy cerca. Precios desde 35 a 50. Los duos y tríos muy bien servidos. Lo recomiendo."
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,"El sabor agradable , ambiente tranquilo y acogedor, buena atención, recomendado 100%"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,"Excelente servicio.
Precios razonables y platos bien servidos"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",3,"Han reducido las porciones. Parece que cambian mucho de cocinero porque los sabores ya no son lo mismo de antes. Continúa su amabilidad. No se ""gastoneen"" por favor."
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",3,"El ambiente está bien, la música también, con no respecto a la comida podemos decir que el ceviche tenía demasiado apio y muy ácido, el arroz con mariscos tenía demasiada cebolla, el chaufa de mariscos Masomenos.. a mejorar esos.. con respecto al chicharon de pescado bien y la chicha mejor.. la atención buena"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",4,"La comida del mar es mi preferida y este restaurante tiene una variedad de platos para escoger.
La sazón es muy agradable, la atención con los tiempos de espera son aceptables.…"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",2,"Lamentablemente no me gustó el cebiche  ni la causa, no le encontré ese sabor clásico de un ceviche bien preparado y la causa votaba mucha agua como si hubiera estado en el refrigerador mucho tiempo"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",4,"Pedimos un tiradito molinero, arroz con mariscos y chicharrón mixto. Todo delicioso. No me agradó mucho que tienes que pasear por todo el restaurante para encontrar una mesa libre."
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",1,El restaurante tiene una atención no muy efectiva y con demoras además sus platos no son nada diferente ni con sabores realmente llamativos
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,"Buen ceviche, sus dúos marinos también muy bueno, también he probado la sopa criolla muy agradable, lo recomiendo."
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,Excelente servicio rápido delicioso
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,Rico enrollado de pescado relleno de mariscos y buena atención. Los platos son muy generosos
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",5,"Un lugar bonito para almorzar en familia, lo recomiendo"
Cevichería El Molinero - La Molina,"-11.9985068,-77.161702,11z",3,"Buenos platos.
Pero el ceviche le falta limon y la atencion a partir de las 4pm es baja."
