titulo,coordenada,calificacion,comentario
Chifa Estrella,"-11.9422455,-77.138299,13z",1,"Soy cliente de ese chifa, habitualmente suelo ir con mis amigos y familia. Pero el día de hoy si q estuvo pésimo. Pedí un tallarin Taypa de la cual estuvo sin sal, todo horrible. Quise hablar con la dueña y no estaba. Sin duda mucho que desear."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Buen servicio y excelente Calidad en sus menús
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Servicio excelente... Siempre voy, si no puedo ir pido delivery. A mis hijos les encanta."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"La comida es muy buena, precios cómodos."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Muy buen servicio, deliciosos platos"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"En mi refrigerio, me acerco lqs veces que puedo a este restaurante. Es limpio, la comida bien preparada, agradable presentación. Recomiendo pedir el té de Jazmín. Les encantalá :D"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Los platos en general son muy buenos, todo se ve fresco,. Recomendado precios accesibles"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Excelente ubicado entre av carabayllo y av mexico, ricos los platos."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Un reciente lugar bien ubicado, de buena decoración interna, rápida atención y excelente comida china.
Sugiero mejorar el alcance de del servicio delivery, por qué cuando lo he…"
Chifa Estrella,"-11.9422455,-77.138299,13z",2,"La sazon no alcanza al nivel que 3sperava ,a atención tibia ."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Excelente lugar para salir a comer, buen ambiente y la atención muy buena,les recomiendo"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Desde que lo probé, es uno de mis chifas favoritas de cono norte.. Desde el sabor hasta el delivery con buena presentación y son muy rápidos. Recomendable 👍🏻👍🏻👍🏻👍🏻…"
Chifa Estrella,"-11.9422455,-77.138299,13z",1,"Pésimo Chifa, hoy 30/01/22 pedí un pollo con piña el cuál llegó bien lo que estuvo vinagrado fue su ají. Al momento de reclamar en su restaurante me negaron el retorno del dinero."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Excelente atención buen sabor recomendado
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Uno de los mejores chifas su variedad de platos es buena y sobre todo un buen servicio, su comida deliciosa y entradas muy ricas todos sus insumos son frescos y de buena calidad 😋…"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Buen lugar para comer, tiene aire acondicionado para estar mas fresco adentro. La comida esta es de buena calidad y al mejor precio."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Muy buena la atención y la comida muy rica siempre voy con mis hijos a comer ahí nos encanta
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Un buen sitio, aunque antes era un poco más rico la comida"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Muy buena toda la comida, la atención es rápida y el precio bastante accesible. Lo mejor los siu más. Recomendado."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Buena sazón y variedad de platos. El ambiente es agradable para compartir.
Chifa Estrella,"-11.9422455,-77.138299,13z",3,"Muy buena atención, pero la comida no estaba muy buena."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy bueno y recomendado. Siempre voy a comer mi Typa a la plancha con sus dos chaufas y sus dos chichas uff brutalll muy rico
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Buena atención, pero sobre todo buena comida."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Muy rico, atención rápido y muy buena."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Es muy rico y atienden rápido
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Muy buena sazón, baños impecables!"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Todo muy rico y bien servido, y el delivery es super rápido"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Grato ambiente,precios al alcance del bolsillo y excelente preparación"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Sabor agradable  para el precio. La espera en la atención para llevar fue bastante rápida para sorpresa mía.
Chifa Estrella,"-11.9422455,-77.138299,13z",5,La atención es buena y los dueños amables. Buenos precios y rica la comida
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"La cantidad no es tan considerable, pero el sabor sí es rico"
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Sabroso el menú y una atención esmerada
Chifa Estrella,"-11.9422455,-77.138299,13z",1,"Los dueños son malcriados, pídanles el libro de reclamaciones y nunca se lo van a dar... lamentable porq es muy buena comida pero un día te cobran algo y al otro día te quieren cobrar más les reclamas se ponen prepotentes y ya no te quieren atender"
Chifa Estrella,"-11.9422455,-77.138299,13z",1,"Hasta las patas
Cambiaron de cocineros atienden puros venezolanos
No es xenofobia pero antes an debido de aprender sobre los platos que venden informarse los nombres"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Muy buena comida, solo los siu mais estaban duros, parecían congelados. Todo lo demás Ok"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Siempre encuentras buenos platos, a un precio justo."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Buen lugar para comer, muy agradable."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"La atención es buena, amable y atenta. El tiempo de espera es poco sin embargo la comida tiene puntos que mejorar así como los ingredientes."
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Está  mejorando en sabor. Pero la atención no. Peor con las venezolanas que crees que te hacen un favor al atender la mesa. Bien por el cajero.
Chifa Estrella,"-11.9422455,-77.138299,13z",1,"La atencion pésima, los platos llegaron uno tras otro y el de mi esposa llego cuando todos los demas ya habiamos acabado, ahora son meseras venezolanas creo que mezclaron los platos con otros clientes."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Buen servicio y la comida muy rico Gracias
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Todo excelente, limpieza atención de primera y muy buena preparación en los platos muy rico, recomendable al 100 %"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Mantienen su rico sazón, pero pediría que mejoren su delibery un poco mas por tiempos de pandemia."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Variedad de platos..buena sazón.
Chifa Estrella,"-11.9422455,-77.138299,13z",4,La comida muy rica y bien preparado me encantó
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Lugar céntrico provincia de Cangallo bastante comercio
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Excelente atencion de primera en su local y también delivery
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy rico y sirven buena cantidad 😋…
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Precios accesibles cordial atención cumple con protocolos vigentes.
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Muy bueno, sirven bastante y rico, lugar limpio, zona tranquila"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Deliciosa las verduras a la parrilla 🤤🤤🤤…
Chifa Estrella,"-11.9422455,-77.138299,13z",3,"La comida bien, pero algunas chicas en especial las venezolanas maa paran con el celular que en atender a los clientes.. Y yo tengo años consumiendo en el  chifa ESTRELLA..."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Tienen una excelente variedad de platillos
Chifa Estrella,"-11.9422455,-77.138299,13z",5,La comida súper rica 😋😋😋😋😋.…
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Buena sazón probé un tallarín Sansi recomendable
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Esta bien pero lo que malogro el sabor fue encontrar un trozo grande de sal y un pelo espero que no les pase lo mismo
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Muy rico
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Buen lugar , muy buena comida , mantienen el sabor de siempre"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Fresco, ricos sabores."
Chifa Estrella,"-11.9422455,-77.138299,13z",3,"Muy bueno, pero puede ser aún mejor."
Chifa Estrella,"-11.9422455,-77.138299,13z",5,El unico donde preparan el tallarin de pollo con fideo frito delicioso
Chifa Estrella,"-11.9422455,-77.138299,13z",2,Tiene buena comida buena atencion y local
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Me encantó la comida y la atencio, lo recomiendo, el limonkay estubo delicioso"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Excelente sus potajes, deliciosos!!! ❤"
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Atención rápida, local amplio y bien ventilado."
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Creo q es el más rico de  todos los chifa en México Comas
Chifa Estrella,"-11.9422455,-77.138299,13z",5,"Muy rico, El aeropuerto  Especial es delicioso.  El mejor en la zona hasta ahora."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Cumple con los protocolos..buena atención y buena sazón en comida Chifa...lo recomiendo.
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Excelente el servicio y la comida es agradable los invito a todos.
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Buen producto pero deben mejorar la atención
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Si la atención muy buena y rapida
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Muy rico y buena atención :)
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Buena atención y productos frescos me gustó.
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Muy rico la comida chifa.
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Buena atención y excelente la comida
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy buena comida
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy buena comida
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy rica comida
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Uno de los mejores chifas de Lima Norte
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Bonito lugar , comida muy sabrosa"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy bueno
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Buenos platos combinación de salado dulce.
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Buena comida, recomendable"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Deliciosos platos. Me encanta el tallarin frito.
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Mejorando
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Bueno rico y barato
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Lugar agradable para disfrutar una Rica comida china
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy buena comida
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Cocinan excelente lo recomiendo
Chifa Estrella,"-11.9422455,-77.138299,13z",2,Le puse solo dos estrellas. Por que los números que dan no son los correctos
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Muy rico 🤤…
Chifa Estrella,"-11.9422455,-77.138299,13z",4,"Buena su comida, cómodo y un lugar agradable"
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy rápido y buen servicio
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Una comida espectacular
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Rico agradable ambiente .
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Ha bajado la calidad de la comida :(
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy buena comida
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Hoy estaba muy bueno
Chifa Estrella,"-11.9422455,-77.138299,13z",2,Pedi un lomo saltado con chaufa de 0a10 le pongo un 5
Chifa Estrella,"-11.9422455,-77.138299,13z",3,Rapido pero un poco sucio o desordenado
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Buen menú... Buenos platos
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Muy rico preparan su comida
Chifa Estrella,"-11.9422455,-77.138299,13z",2,Por la atencion e informacion de su platos
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Buena atención bonito lugar
Chifa Estrella,"-11.9422455,-77.138299,13z",4,el lugar agradable y la comida también
Chifa Estrella,"-11.9422455,-77.138299,13z",3,El chino diseño del chifa es malo
Chifa Estrella,"-11.9422455,-77.138299,13z",3,"Lo normal en un chifa, nada de especial."
Chifa Estrella,"-11.9422455,-77.138299,13z",4,la atencion es muy  buena
Chifa Estrella,"-11.9422455,-77.138299,13z",3,estaba bn
Chifa Estrella,"-11.9422455,-77.138299,13z",4,Muy rico
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Excelente atención
Chifa Estrella,"-11.9422455,-77.138299,13z",5,Buena atención.
