titulo,coordenada,calificacion,comentario
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,La comida es buena pero el local es pequeño por eso demoran bastante en traer la comida
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Excelente comida volveré muchas veces
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Un buen Restaurante y excelente  la calidad  de la comida
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,"Estuvo deliciosa la comida criolla, es un lugar pequeño, recomiendo acudir temprano para encontrar lugar disponible. Decirle al cheff que le faltó cocción a los fideos."
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,"Excelente ambiente, comida agradable, buena atención"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,"Me gusta mucho, es agradable,  lo mejor de chorrillos"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,Buena comida variedad los platos son variados lo que no me gustó que la atención no es muy rápida
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Excelente comida muy cómodo y buena atención recomendado 👍🤙…
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Excelente platos en cantidad y calidad
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Deliciosa comida criolla en un lugar fresco limpio y agradable. Buen provecho...
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",3,Agradable  lugar y se come  bien la atención  es buena
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,"Yo como Padre de mi PRINCESITA Carisa  que es una preciosa niña  y le gusta el  Ceviche  y los Mariscos, chicharrón  de Pescado  hoy quiero  celebrar  mi cumpleaños  ,que mejor D'GARDEN , PARA DISFRUTAR  al delicioso  y muy Rico  se los recomiendo  ."
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,"Platos con un delicioso sabor y muy acogedor, recomendable para la familia"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",1,"Mala atención, no tienen buena sazón, los precios no justifican ni lavanda ni la calidad de los platos.... no vayan de verdad...."
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,"Buenos platos y la cantidad adecuada,el sabor es bueno."
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,"Muy buena comida ,demoran en la atención"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Bien acogedor y privacidad..
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,"Excelente calidad de los platos q ofrece, falta un poco de rapidez en la atención y falta de stock en gaseosas"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,"excelente lugar, buena la atencion los platos son variados pero  no  es su fuerte los mariscos"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",2,Buena atención pero platos caros y no tienen buena sazón. Dejan mucho que desear.
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",4,Su comida es muy rica y lindo lugar para disfrutar mi almuerzo
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",1,Se demoran en atender y no cumplen los platos han bajado de calidad y cantidad solo subeel precio
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,"El lugar es muy agradable , la comida deliciosa me encantó 😀🍛🍜🍝🍤🍕🍟🍔🍲…"
D'Garden Restaurant cevicheria,"-12.0773039,-77.1696105,11z",5,Buena atención. Buena comida... lo mejor de la zona...
