titulo,coordenada,calificacion,comentario
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"El ambiente es bonito y fresco para verano. La comida estaba muy buena, y la atencion fue excelente. No tengo quejas."
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"Agradable, buena comida. Precios razonables. Quizá lo único que una de mis compañeritas comentó que su pulpo estaba un poco duro pero en general la atención, precios, tiempo en servir los platos estuvieron muy bien. Lugar acogedor"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",1,"Pésima atención, la comida no es como las fotografías y la calidad del pescado tampoco es buena."
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"Todo muy bueno, ambiente y los platos"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",1,"Mala atencion, no cumple las expectativas mínimas. Las fotos son solo referenciales."
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"Espectacular el ceviche y los chicharrones, pero especial mención al camarero, encantador, simpático y profesional. Da gusto así, un 10. Y la música, estupenda!!!"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"La comida muy rica, el precio justo y la atención espectacular..... Todo perfecto para recomendar y regresar"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"El restaurante muy bonito . Limpio ordenado y un servicio increíble..pase mi cumpleaños en marzo 2022 ahí con unos platos riquísimos, me agradó el ambiente y promociones  ..5estrellitas"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,La mejor calidad de comida que he probado 😋 un ambiente agradable para estar en parejas y familias 😎🥰…
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"Excelente comida todo muy limpio, son bastante respetuosos"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"El mejor ceviche!! Ambiente acogedor, pescado de primera.
Felicitaciones a las cocineras.. lo máximo!!!"
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",5,"Buena atención,  buena comida y rapidez en el servir la comida a precios razonables."
Dos Peces Restaurante,"-12.0773039,-77.1696105,11z",4,"Restaurante Marino con ambientes privados. Los platos muy buenos y variados, personal muy atento. Toda forma de pago."
