titulo,coordenada,calificacion,comentario
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Muy buena atención, amable, limpio.
Para 2 adultos y 2 niños la Parrilla Doble Usa (S/. 350) es mucho, en mi opinión es para unas 6 personas bien comido y 2 niños, la Parrilla personal Usa ( S/.…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Las carnes al término correcto son demasiado buenas, los meseros muy atentos y el ambiente tranquilo, solo que ne verano hace mucho calor por la infraestructura pero por lo resto, regresaría."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Comida exquisita; el pollo a la pimienta tenía el toque justo de picante y la ensalada estuvo muy apetitosa, aunque debieron servirla junto con el plato principal y no antes, para que no se avinagrase tan rápido."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Ambiente muy agradable, espacioso y con una carta bastante amplia. Precios altos pero con buena calidad de insumos y preparación correcta. Atención del personal poco amable pero sin ser descortés.…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Linda vista, buen ambiente, deliciosa comida. Muy recomendado para los amantes de las carnes y el vino."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Muy buen espacio, amplio y acogedor, buena comida, buena atención. Exelente para reuniones de grupos grandes, cuenta con estacionamiento al aire libre en la parte frontal del local"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Muy rica la comida y la atención muy cordial, super recomendado."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"El mejor lugar para desgustar carnes y vinos, muy buena atención y el sabor es de los mejores."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Sobre el local y personal (06.03.2021)
1. Ambiente limpio
2. Cumplen con el distanciamiento social…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"10 de 10 , la carne excelente la ensalada super. Lindo ambiente  y vista ."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Uff súper recomendado, el ambiente es excelente , el lugar es bastante amplio y su atención es buenísimo , con respecto a sus carnes , es de muy alta calidad y contundente para los hambrientos , eso si su precio lo vale"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,Excelente lugar para disfrutar de una buena parrilla con unos buenos vinos. La decoración del local es perfecta y la atención es muy amable.
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"El Hornero siempre será una de las mejores opciones para comer carne.

Esta vez comí entraña en término medio con ensalada. La porción completa alcanza…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Muy buena la parrilla, alcanza para 3 personas y quedas satisfecho, de cortesía te traen unos pancitos calientes para comer con mantequilla. El local es de dos pisos, muy amplio y de grandes ventanas con vista a la playa. Además el personal muy atento y amable."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",3,La comida está rica. El chorizo está buenisimo!! Sin embargo ya había escuchado de otras personas que hay algo macabro en el ambiente. Personalmente me resultó muy desagradable comer rodeada de cabezas de animales muertos colgados por todas…
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Un muy buen lugar para comer carnes a la parrilla. Bonito lugar frente al Malecón de Chorrillos, lugar amplio y muy buena atención. Hay bastantes espacios para estacionar fuera del restaurante (con vigilencia). El precio es algo elevado pero la calidad lo vale."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Mantiene su buen servicio. Buenos cortes de carnes básicos (no son extraordinarios) y están bien preparados.
La parrilla personal alcanza para tres personas, incluyen porción de papas y…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,Éxelente local de Chorrillos con vista al mar amplio cómodo buena atención y rica parrilla
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,Excelente atención. Muy amables y riquísima parrilla.
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Muy buena atención del personal, siempre atentos, el lugar limpio y cumplen los protocolos de Bio seguridad, y la comida muy rica, nos encantó"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Delicioso todo, pero bien carito..!
No tiene parqueo propio, debe uno parquearse en la avenida, menos mal que hubo espacio. 1330 horas."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Pase uno de los mejores momentos en este lugar, celebramos el 5to Aniversario con mi esposa, disfrutar de momentos preciosos y buena atención, este es un buen lugar!!…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"La comida muy buena, como siempre, pero no tenian varios cortes que queriamos, como asado de tira ni la opcion de carne argentina para la parrilla personal.
Los chilcanos, de los mejores que puedes probar en Lima."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Las carnes son de buena calidad, en todas sus variedades, las porciones las puedes  elegir entre media y completa.
Te sugiero probar el choclo frito y los champiñones a la parrilla mientras te…"
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,"Atención rápida, buen servicio. Lugar preciso para reunirse en familia y en salones privados.
Estacionamiento disponible.
En general, me encanta."
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",5,Todo muy delicioso... Una música de fondo no estaría mal... Algo suave. Regreso despues de 2 años y todo delicioso. Parecera caro pero la comida... El lugar... La seguridad lo vale.
El Hornero Chorrillos,"-12.0773039,-77.1696105,11z",4,"Sus anticuchos estuvieron buenos.
La carne, picaña, para mi gusto estaba muy cruda y no había hecho un rico dorado, parecía que faltaba un poquito de sal.…"
