titulo,coordenada,calificacion,comentario
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",5,"Excelente !!! La atencion muy amena y agradable , el sitio pequeño pero con buenos ambientes , para ir en pareja o en grupos . La comida es exquisita , tal cual estar en mexico , los precios bastante accesibles y acorde con las porciones que se sirven . Sin duda alguna vuelvo mil veces ..."
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",5,"Excelente comida mexicana 😋. Recomiendo pedir el buffet, variado y la preparación es en el momento, mientras vas comiendo de un plato .. van preparando el siguiente pedido... Así hasta que quedas completamente satisfecho 😋😋,65 soles por persona.…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",3,"Acostumbrado a ver los tacos comerciales que se ofrecen en diferentes lugares de Lima, me llevé una gran sorpresa de conocer que hay un lugar muy pequeño pero acogedor que atiende en mesa, además del servicio para llevar. Se encuentra en la…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",3,"Agradable comida mexicana, en realidad no había probado unos chilaquiles originales a base de tortilla de maíz o trigo, los precios no están mal, y la atención es súper rápida. Por otro lado, considero que  deberían ampliar sus…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",5,"Excelentes sabores, el ambiente super encantador, desde la música hasta su decoración y su comida. De verdad 10000% recomendado"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",1,"Luego de 5 minutos en el lugar, me di cuenta que fue un error estar sentado ahí.…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",2,"Lo primero q se me viene a la mente es la sensación de sin sabor q me dejo ir al “mexicano” , fuimos al local de Bonilla , esperamos casi media hora, el local es pequeño, rústico con algunas calaveras por ahí pero no sorprende de más , el…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",5,"Restaurante muy agradable, limpio y ordenado. El local es ciertente pequeño, posee mesas con divisiones entre asientos por temas de la pandemia, al ingresar hay un asiento más amplio y cómodo. La atención es buena, los trabajadores  a cargo…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",3,"Me encantan sus tacos, son demasiado ricos por la variedad de carne que ofrecen y la tortilla súper tradicional. El lugar es acogedor pero no es tan amplio, un poco difícil cuando vas con bebés. Los deliveries 🚚 por Rappi demoran demasiado y a veces los cancelan, creo que es mejor ir presencial.…"
El Mexicano Tacos & Burritos,"-12.1220962,-77.0310092,17z",1,"El sazón puede que sea bueno, pero la atención es pésima, para comenzar si no tienes celular con el cual puedas leer la carta no te atienden, luego de ellos el pedido demora de 30 a 40 minutos... Nadie te presta ningún tipo de atención, cuesta saber si están trabajando tu orden o no."
