titulo,coordenada,calificacion,comentario
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",3,"La arquitectura y diseño del local es muy bonito y presentable. En cuanto al servicio estuvo bueno pero en cuanto al pollo no estoy satisfecho por su sabor si se dice que es a base de leña, las cremas no deben ir en ese tipo de envase y creo que se puede mejorar bastante."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",2,"Bueno es la segunda vez que voy a este local, la primera vez estaba de regular para más, pero esta vez estuvo de regular para menos, me atendió el mismo mozo, muy buena su atención, pedimos un lomo saltado ( lo único bueno era la carne que…"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Excelente atención, muy buen sabor de pollo y otros platos, calidad Precio del 1 - 10 (9) dado que el precio me parece un poquito alto."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Las pastas y carne son lo máximo, muy buena atención."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,Excelente la atención la calidad de la comida siempre consumo ahí en la pollera o por delivery felicitaciones muy recomendable.
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,"Buen ambiente, los mozos muy atentos con la clientela y la comida rica."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Buena atención , en el segundo piso se sentia un ambiente fresco."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,"Excelente atención, buena sazón."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,Excelente alternativa en el distrito de Comas. La comida excelente y el servicio también impecable. Recomendado!
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Muy buena atención,  amplio ambiente y deliciosa comida."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Muy rico y jugoso el pollo, el arroz chaufa super rico"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,La comida está bien. Le falta un poco de variedad .
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Excelente atención, y la comida estaba buenaza.
Recomendado"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,"Buen sitio para ir en familia, se respeta el aforo permitido por la pandemia.
Los alimentos que se venden en toda su variedad, son de un rico sabor y de calidad.…"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",2,"El lugar es bonito, pero no toman en cuenta que en emergencia sanitaria no deben de tener pomos para las salsas, la usa una mesa la recogen y sin desinfectarla la pasan a otra mesa, los cubiertos no están protegidos, el personal no cumple con los epp completos, es un poco caro por el riesgo que significa."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,Buena comida y buen servicio 😋…
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Excelente comida y atención, recomendable 💯…"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,Excelente muy buen servicio 👍…
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",3,"Serían dos estrellas, pero señor del estacionamiento fue muy amable, por lo que regalamos una estrella.
Poner atención en las bebidas, porque no le pusieron azúcar. Si es diabético, será perfecto."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,Muy buena atención por parte del personal y muy rico el Pollo ala Brasa
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,"Buen lugar y muy amplio el pollo es muy bueno y la ensaladas también. Falta mejorar las papas fritas por lo resto 5 estrellas. Tiene estacionamiento si van con carro. Buen trato.
Recomendable para volver"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Agradable lugar, buena atención, variedad de platos, los precios de los platos a la carta están alrededor de 30"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Amplio, limpio, buena atención y el precio-calidad de la comida es 10/10"
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,Excelente la atención y el lugar la comida muy buena el precio accesibles
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",5,"Atención de mozos excelente. Espacio para estacionar. Sazón del pollo superior a las pollerías de la zona. Ensalada y papas buenas. Muy buena pollería, excelente experiencia."
El Sabor De Mi Casa,"-11.9422455,-77.138299,13z",4,Buena la atención muy bueno en local el ambiente acogedor y la comida agradable
