titulo,coordenada,calificacion,comentario
El Tizon de Surco,,4,"El lugar es amigable y vintage. La señorita que me atendió fue muy amable y atenta, me pregunto por la música que quería escuchar; la hamburguesa de carne y las papitas fritas estuvieron muy crujientes. El chilcano de limón, fue simple pero rico, aunque el precio es elevado para ser solo un vaso y sin adorno."
El Tizon de Surco,,5,"Buen lugar, tranquilo para tomar algo con los amigos, sus anticuchos son ricos"
El Tizon de Surco,,4,"Muy buenos anticuchos, grandes, frescos y de buen gusto en estos momentos diría Yo lo mejor de Surco. Cuenta con cochera y su local es amplio y aseado"
El Tizon de Surco,,5,"Lo recomiendo un lugar tranquilo para la familia su especialidad en Parrillas y anticuchos son exquisitos.
Pruebalos y no te arrepentirás ,ah y no se olviden de probar los ricos vinos de la zona (Cruz Blanca ,Ugareli entre otros ....buenazos)."
El Tizon de Surco,,4,Mejorar la temperatura de los olatos y cocinarlos un poco mas
El Tizon de Surco,,4,"Un lugar típico de Surco viejo, buenos piqueos, agradables tragos o pide una Res y lo preparas tu mismo!"
El Tizon de Surco,,4,"Excelente lugar para pasar el rato con los amigos, entre unos tragos y buena platica."
El Tizon de Surco,,5,"Buenísimo! Sus anticuchos, brochetas y chicharrón son de lo mejor"
El Tizon de Surco,,5,Muy buen lugar para desayunar les recomiendo
El Tizon de Surco,,5,"Todo rico, buenos tragos y excelente musica..!!"
El Tizon de Surco,,5,Buen lugar para disfrutar el momento.
El Tizon de Surco,,4,Muy acogedor se podia conversar y beber licor 🍻🍻…
El Tizon de Surco,,5,Tranquilo y personal atento... sus piqueos muy buenos!
El Tizon de Surco,,4,Muy ricos sus anticuchos
El Tizon de Surco,,5,Un rinconcito muy acogedor ... excelentes anticuchos y bebidas
El Tizon de Surco,,5,Buen lugar para conversar con unas buenas cervezas
El Tizon de Surco,,5,Muy ricoooo .. muy bacán .. muy limpio .. muy barato XD
El Tizon de Surco,,5,"Piqueos espectaculares, buen ambiente."
El Tizon de Surco,,5,Bueno para unas cervezas y unos anticuchos
El Tizon de Surco,,5,"Buen ambiente , buena atención 20 puntos"
El Tizon de Surco,,5,Todo bien con el chicharrón de pollo pero mucho borracho que indigna
El Tizon de Surco,,5,Sus anticuchos muy ricos.
El Tizon de Surco,,4,Buen restaurante en términos generales.
El Tizon de Surco,,5,Muy buenos anticuchos pancitas
El Tizon de Surco,,4,Muy bueno
El Tizon de Surco,,4,Bonito lugar departir con familia y amigos
El Tizon de Surco,,2,Lugar para tomar con tus patas Caleta.
El Tizon de Surco,,5,Excelente servicio y la comida deliciosa
El Tizon de Surco,,5,Muy buen servicio
El Tizon de Surco,,4,Agrable y buena atención
El Tizon de Surco,,2,La comida no fue buena.
El Tizon de Surco,,4,Los mejores anticuchos en Surco
El Tizon de Surco,,5,Bueno
El Tizon de Surco,,5,Se come rico
El Tizon de Surco,,5,Excelente
El Tizon de Surco,,5,Buena
El Tizon de Surco,,5,Bueno
El Tizon de Surco,,5,Excelente comida
El Tizon de Surco,,5,Rico
El Tizon de Surco,,5,"Comidas y bebidas,  de todo!!!!"
El Tizon de Surco,,5,Buena comida
El Tizon de Surco,,5,Comida Buena ..
El Tizon de Surco,,4,The most perfect
