titulo,coordenada,calificacion,comentario
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Este restaurante es espectacular, tanto la temática del local, la atención así como el menú y su sabor. La barra libre es americana y todo lo que sirven es muy sabroso y de buena porción. La atención es muy buena, son muy amables y están…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,"Fui demasiado tarde para el show así que queda pendiente regresar. Por otro lado, el ambiente es muy agradable(quizá un poco pequeño), dentro había: merch, comida (piqueos) y decoración (hasta en el baño) 🤭. Todo estuvo muy delicioso,…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"En lo personal me gusto mucho la atención  son muy amables, su comida es muy buena,  al comer puede sentir que no usan mucho aceite, porque no te deja esa sensación grasosa excesiva en la boca, tienen un buen  ambiente y buena música"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Super divertido para ir en familia.
Puedes ver diferentes shows deacuerdo al día,los niños super entretenidos. Hamburguesas personalizadas deacuerdo a la película o personaje.…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Mis amigos me comentaron de este restaurante, realmente no esperaba que sea  tan bueno pero, la comida es buena, la atención es buena y los shows son muy entretenidos.,…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,"Muy bonito el lugar, precios accesibles y el show bueno xD los niños lo disfrutan mucho. Si lo recomiendo."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",1,"El día de ayer fui a celebrar la graduación de mi hija en el local de la Molina, ya había hecho reservación, llegué con mi familia y no nos atendió nadie en la entrada, tuve que ir donde un cocinero para preguntar quién atendía, me atendió…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Excelente lugar para pasar un buen rato! Excelente ambiente, buenas presentaciones, se recomienda siempre verificar el calendario de eventos, está bastante bien decorado y la comida es demasiado buena, llega bastante rápido a pesar que se llena, se recomienda reservar por wsp, para que no tengan que esperar mesa, excelente lugar !"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,"Un restaurante ambientado con muchísimos objetos de películas y series, ordenado y limpio, con buena distribución del espacio a pesar de no ser un local tan grande. Todo pedido para su consumo se realiza vía tablet con aplicativo, lo cual…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",2,"La comida que te sirven de parte del buffet es desabrida tanto como las carnes, las papas, y en el caso de las alitas resultaron saladas. La ensalada matiene su frescura y los wafles ricos. La atencion es buena conjuntamente con el trato y la temática. La recomiendo por la temática ,mas no por la comida."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Primera vez que voy y me pareció excelente. La atención desde que ingresas, la comida, la decoración y música. Y me enxantó mucho el Show que brindan con diversos personajes y hoy le tocó al  Doctor Strange muy bien carecterizado. Te…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",2,"Me fue pesimo, no habia aire acondicionado, no habia luz, el sercicio regular excepto la anfitriona de la entrada ella super amable... Pedi por el dispositivo y nunca llegó mi pedido... Me dijeron pida de nuevo, tuve que hacerlo y esperar al rededor de 15 minutos cada pedido... Ojala mejore porque en decoracion es muy bonito."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",2,"La comida es como en los comentarios, los aperitivos estaban sin sabor, las papas también, lo único que me parecieron ricas son las hamburguesas y los hot dogs, los waffles de por sí ya son ricos y recomiendo comerlo al inicio, porque al…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Buen lugar,  se pide desde el celular hay que pedir con tiempo entre cada plato.  Buena atención."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,"Lindo restaurante temático , para pasar tiempo en familia,amigos. Es un restaurante all you can eat,tienen variedad de platos , la decoración es increíble y venden funkos y más souvenirs"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",3,"Excelente decoración y ambiente
Ubicado al constado de la avenida javier prado con cajeros de distintos bancos a los costados…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Pasé mi cumpleaños alli, fue espectacular todo la atención, la comida, el show, me cantaron el cumpleaños, se los recomiendo"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"La verdad una atencón 10/10 la comida llega rapido, los meseros son bien educados, los shows muy bien preparados, y la variedad de comidas son exquisitas!!!!. Si alguna vez van les recomiendo probar las hamburguesas tematizadas y los waffles, muy buenos la verdad!!"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,Lugar temático para compartir con amigos. Podrían considerar que toda su comida también sea temática. 👍…
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,"Hice una reserva para el día de la transmisión de los premios Oscar, la atención fue muy buena y el local también, especialmente la zona Game of Thrones tiene bastantes objetos de colección. El local es muy interesante, especialmente para…"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Muy bello el lugar y las personas que trabajan allí... hacen sentir que se esta viviendo una experiencia totalmente única y maravillosa. Ir con niños, jovenes o adultos es muy bueno, sí o sí, terminaran con una sonrisa en la cara. (Seria bueno que añadan más postres al buffet y platillos a elegir)"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Genial, muy buen sistema para hacer los pedidos. Te atienden rápido el lugar es hermoso. Perfecto para fans de harry Potter, star wars, Game of Thrones y mundos de lejanos."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Excelente lugar para pasar una noche agradable, el servicio es excelente y los shows que realizan tmb son muy entretenidos. Las comida tmb es muy buena."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,Es muy bonito es Estupendo los chicos se divierten mucho con sus personajes preferidos se siente una adrenalina uau visitenlos
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,Me gusto la ambientacion y los shows tematicos
Hollyfood La Molina,"-11.9985068,-77.161702,11z",4,"Me impresionó, pero en el servicio había alguien que estaba renegando y mi pedido salió tarde"
Hollyfood La Molina,"-11.9985068,-77.161702,11z",5,"Buena mecánica de ""all you can eat"" que incluye diferentes temáticas. Unos shows de personajes disfrazados que pasean y actúan ligeramente en los pasadizos mientras uno come, tmb hay una parte para tomarse fotos con fondos. Buena experiencia."
Hollyfood La Molina,"-11.9985068,-77.161702,11z",3,Le he puesto 3 estrellas solo porque por 35 soles no esperaba mucha calidad.  La ambientación está bonita y el personal es amable pero se demoraban demasiado para sacar la comida y el local ni estaba lleno... Parece que se demoran al…
