titulo,coordenada,calificacion,comentario
Huayros (Miraflores),"-12.117059,-77.0316488,17z",2,"Compré un cupon para una barra libre, tenía altas expectativas pues había visto un tiktok sobre esa experiencia, cuando fui el local muy lindo, solo diría que le falta un poco de ventilación, los mozos muy agradables están pendientes de si…"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Me encantó, la atención muy buena, un sitio acogedor y la parrilla exquisita, buenas carnes,  las papas, la ensalada todo muy bueno..
Lo recomiendo, sus precios módicos."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,Buen ambiente y la comida excelente. Además de la buena atención del personal 😊…
Huayros (Miraflores),"-12.117059,-77.0316488,17z",1,"Este lugar es una estafa! Pague 60 soles por una barra libre de carnes hamburguesas, alitas, makis la carne era tamaño de mi dedo y un poco de papas, te limitan el tiempo y se demoran en traer el prox plato, alitas no habían, no te ponen…"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",2,"Demoran mucho la atención de buffet la primera ronda comes 2 platos y luego solo pides de 1 en 1, en carnes y pollo solo te Dan 100gr por porción"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",4,"La comida un poco salada, el servicio fue excelente y el ambiente adentro del restaurante es bastante bueno pero un poco caluroso y falto de ventilación."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Lindo para compartir, celebramos mi cumpleaños allí y fue bastante agradable la atención y su comida gracias recomendado sigan Asii, 🎀✍️…"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Ambiente excepcional, cuentan con una barra libre contundente con una carne espectacular, los makis están exquisitos"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Excelente lugar ,ventilado ,limpio buena comida atencion de primera recomendado"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Fui con mi  novia, mi carne estaba exquisita y el lomo saltado igual, nos atendieron muy bien definitivamente una experiencia que repetiria, 5 estrellas!!"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Buen servicio, sabores muy ricos y el ambiente muy cool"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",4,"Me encanto, buen ambiente, buena atencion, la comida rica y acorde a los precios."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",1,"Estafan a la gente !!!
Pedí un combo donde venían varias carnes y Quisieron hacer pasar una colita de cuadril por pícaña. Además, las costillas a la BBQ eran a la caja china y no eran…"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,Muy rica la comida y el lugar muy acogedor
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,Buena atención y todo muy rico
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"La atención es A1 y las bombonas que probé estuvieron exquisitas, chevere disfrutar de la comida en la terraza con vista al parque... y sus papas huayros, ufff.... lo recomiendo. 100%"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Excelente, la mejor carne de lima"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Excelente sazón, lugar acogedor.
lo único es que el mozo se equivocó y me trajo mi picaña término 3/4 cuando lo solicité termino medio, pero a pesar de eso: todo excelente, sabor, aroma, presentación"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",3,Buenas promociones
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"La atención ha sido muy cordial, y la comida muy rica. Lugar 100% recomendado."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Atención de primera, la comida exquisita."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",4,"Buenazo, probé el box bombona, que tenia, 2 hamburguesas de asado de tira, 4 tequeños con queso suizo y 4 Alitas BBQ . Recomendado"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,Excelente la atención... Eso siempre te hace sentir especial... Y la comida ni hablar! Muy buena... Lo recomiendo!
Huayros (Miraflores),"-12.117059,-77.0316488,17z",4,"El servicio muy bien ,el embalaje de la comida excelente llego tibio pero eso pasa cuando uno pide. Delivery. El chorizo si no era a mi gusto pero lo resto muy bueno Gracias por hacer pasar un dia agradable sin tener que cocinar"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",3,"Lugar agradable hasta cierta medida, la atención esmerada por parte de un personal, pan al ajo de cortesía? creo yo que era un par de arepas, pisco sour? dista mucho de nuestra bebida bandera, la parrilla quizassssss podría ser lo único…"
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Muy buen servicio y muy agradable la sazón. Las carnes son su especialidad pero las papas huayros no se quedan atrás, muy ricas! Muy buen lugar para departir con la familia o amigos."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",4,Me encantó sobretodo la atención y la variedad en la carta que tienen.. El sabor de la carne.. Esa suavidad los condimentos que están en su punto de verdad me encanto.... He estado en otros lugares.. Pero la sazón.. En única aquí en…
Huayros (Miraflores),"-12.117059,-77.0316488,17z",1,"Compre dos parrilla por el día de la madre y realmente el sabor de la carne estuvo pésimo, debería de tener un producto de mejor calidad a un mayor precio como una opción. No vuelvo a pedir nada de este lugar. Si pudiera darle media estrella lo haría."
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,Excelente comida y servicio
Huayros (Miraflores),"-12.117059,-77.0316488,17z",5,"Me encantó. Un lugar para comer parrillas y hamburguesas con un estilo diferente, pero, con mucha calidad en sus productos y calidez en su atención."
