titulo,coordenada,calificacion,comentario
La Basilica 640,"-12.1440338,-77.0758734,13z",5,"Excelente local con un súper ambiente. Fuimos a la hora de almuerzo y se puede apreciar con otros ojos  los 3 niveles de cielo, infierno y purgatorio, ya que en la noche la vista es completamente diferente.…"
La Basilica 640,"-12.1440338,-77.0758734,13z",4,"Si estás aquí para un evento de feriado (Dia del Amor) busca una forma de reservar.
1-Reserva anticipada es recomendable, sugerencia permitir consumir en el bar así…"
La Basilica 640,"-12.1440338,-77.0758734,13z",5,"Excelente la comida su sabor es exquisito de verdad es uno de los que más me gusta ir, lástima que quitaron de su menú el salmón con ravioles rellenos eran los mejores 🥰 . Además la atención es maravillosa y el lugar algo muy peculiar. En conclusión muyyyy recomendado.…"
La Basilica 640,"-12.1440338,-77.0758734,13z",4,"Fui para almorzar, la decoración es alucinante, entre angeles y demonios el arbol con el fruto prohibido, el techo de capilla sixtina, un angel que sale de la pared. La atención es buena y muy atenta, la comida buena pero promedio no es el…"
La Basilica 640,"-12.1440338,-77.0758734,13z",5,"Un lugar, acogedor, rica comida, impecables, mozos detallistas, fui en la noche, el ambiente es muy ruidoso con alta bulla (si se quiere conversar es un poco dificil), el aire acondicionado es bueno, los tragos son buenos."
La Basilica 640,"-12.1440338,-77.0758734,13z",5,"Excelente lugar, buena y rápida atención. El lugar es muy bonito. Recomiendo reservar para tener una mesa bonita. Muy recomendado."
La Basilica 640,"-12.1440338,-77.0758734,13z",4,"Carta variada de platos propios creados dentro del ambiente de propuesta. Muy gourmet, excelente sazón, incomparable atención. Poca gente, deben promocionar más sus servicios."
La Basilica 640,"-12.1440338,-77.0758734,13z",5,"Todo muy rico, fui por la reunión de navidad de mi empresa y realmente la pasamos muy bien"
La Basilica 640,"-12.1440338,-77.0758734,13z",4,"Excelente ambiente, tragos 10/10
Pedí un asado con fettuccini y un lomo fino
La sazón no me convenció, un poco dura la carne del lomo fino.
Todo lo demás, ¡recomendado!"
La Basilica 640,"-12.1440338,-77.0758734,13z",5,"La temática es interesante,  tiene muchos detalles decorativos que van con el concepto en todos los ambientes, inclusive los meseros van vestidos de monjes, la música es animada recomendable para hacer previos o reunirse con amigos. La…"
