titulo,coordenada,calificacion,comentario
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,Un muy lindo lugar lleno de arte y espacios para disfrutar del lugar. La comida no explica con claridad los ingredientes por lo que no se puede calcular la cantidad de comida que se servirá ni tampoco los ingredientes que utilizan.…
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Muy bonito, ordenado y organizado.
Waiters are people’s person.
Nevertheless, yo soy muy básico para este lugar y yo solo espero lo básico de/en…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,¡100% Recomendado! Pedí una milanesa a la napolitana estuvo muy rica 🤤 y también una bebida de la casa refrescante. Los espaguetis con langostinos estaban deliciosos. Buen point de pastas 💯…
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",3,"Hay que ir bien vestidos porque el de la puerta le das prioridad, sino te dicen “lista de espera” mientras los otros pasan tu esperas. El día que fui al parecer fue un mal día para los meceros, todos fingían tener buena actitud pero…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",3,"La comida estuvo rica, el tres le he me encanto. el lugar suele estar muy lleno en la hora de la cena, no lo recomiendo para una cita de pareja o si quieres ir a hablar tranquilamente ya que hay mucho ruido de los niños y grupos grandes que van."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",1,"Bonito lugar,  pero fue muy mala la cena pedi “ divertida milanesa con queso y prosutto s/52.-“ muy seca la milanesa y los tallarines,  duros al masticar,  se le indicó al mesero quien no sabía qué hacer para compensar , mala experiencia,  …quede mal con mis amigos y familia. El mesero muy atento e interesado por dar buen servicio."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"Cuenta con cochera, hay variedad de pastas, los platos de buen sabor, personal atento, ambientes tranquilos... recomendable👍😎…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Fui después de años porque tenía un fuerte antojo de pasta y además porque era tarde y ya no quedaban muchos lugares abiertos cerca. Yo pedí un tagliatelle al lomo y tinto y mi compañero un tagliatelle chorizo e funghi, el mozo tuvo la…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Una celebración de cumpleaños permitió disfrutar de un delicioso almuerzo familiar. Siempre asocié La Bodega de la Trattoría a un Spaguetti con Langostinos, pero ahora con la orientación de Luigi (el joven que nos atendió) opté por un…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Agradable lugar para almorzar, muy buenos los platos y variados. Los tragos también son buenos. De preferencia hay que hacer reserva."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Un placer las pastas en este lugar, realmente pasé un buen momento junto a una buena copa de vino."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"Fui ayer 21 de diciembre y fue una buena experiencia en general . Si bien el personal ha reducido mucho, la atención es ágil.
Buena cocina en los 3 platos solicitados.…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Excelente y muy buena opción para el almuerzo y cena.  El servicio es rápido y la comida sabrosa, y sencilla sin mayor elaboración. Es ideal para reunions familiares e informal es."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"🍹Los tragos, el plato de ravioles, las carnes y los postres muy de nuestro agrado.…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Buena atención
Pizza con prosciutto  estuvo rica"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"El lugar bien ubicado.

Me pedí unos Spaghettis, me gustó como hicieron el Zucchini, , pero no sentí el sabor de la Alcachofa, pero sí del Queso Parmesano."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,Excelente restaurante ubicado en el Distrito de Surco en Lima Perú. Bueba atención. Con espacios amplios  en varios ambientes y lo más importante  deliciosa co.ida italiana.
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Como siempre todo riquisimo, pregunta por los almuerzos del día a S/ 23.90
La sangría de frutos rojos para morirse, riquisima. La piadina al olio la mejor del mundo, pero eso si comerla calientita porque si se enfria ya no es tan rica ;)"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,La Bodega es una tratoria que no trata de ser tan fancy como otras de su tipo por lo que el ambiente es mucho menos formal y más relajado. Desde la carta que ofre opciones bastante simples a precios bastante cómodos sobre los 30 a 40 soles…
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"Agradable ambiente, buena atención. La calidad de la comida es de primera pero los platos que ordenamos, Risotto con Lomo Saltado y una Lasagna, estuvieron  subidos de sal. El piqueo, mini Calzone, y el postre, Cheese Cake de Fresas, estuveron ricos."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"La atención muy buena, la comida nada espectacular, local amplio y con todos los protocolos, su postre 5 leches BUENAZO solo por eso les doy 4 estrellas"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Fui hace un par de meses y en general el lugar, la atencion y la comida estuvieron bastante bien. una variedad interesante de platos en comparacion a otras trattorias que no tienen tantas alternativas mas alla de las pizzas y pastas.…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Comida muy agradable, ambiente acogedor, adecuado para ir en familia o incluso alguna cena informal con gente de trabajo"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Excelente lugar para una comida en familia o una celebración. Ambiente y decoración agradables. Variadas y sabrosas opciones de platos, entradas, bebidas, tragos, postres, cafés e infusiones. Una atención muy buena."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Fuimos a cenar en la víspera de año nuevo.
La comida buenísima.  El servicio un poco lento, puede ser por la fecha y la demanda, aunque un restaurante como este, con tantos años de experiencia debe…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",2,"Pedí una milanes a la napolitana y me trajeron una pechuga  Totalmente seca, pastosa y salada..
Luego pedí unos churros y estuvieron MUY malos     aceitoso y duros  es algo extraño que esto suceda en este restaurante. Mi prefierido"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"Un restaurante de Pastas tipo Gourmet. La calidad de los insumos es buena, la cantidad es poca para la presentación. Los precios varían de 40 soles a más .
La Milanesa Napolitana es la clásica de la Carta, viene con una ensalada de…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"El lugar es muy bonito y amplio, el servicio atento, tuvimos un problema con un plato que estuvo muy picante y la receta no es así, avisamos, se los llevaron para cambiarlos y vino el Gerente de turno a pedir disculpas, super atento."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",3,"Comida muy agradable, Salvo por los tagliateli de lomo & vino que los fideos no tenían sabor y la carne estaba un poco seca. Lo demás estuvo excelente. La atención muy buena, el personal muy amable, las instalaciones muy acogedoras."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Buen lugar, buen ambiente buena gastronomía , vale ir....."
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",4,"Este lugar es bastante rico y tiene buena relación lo que se ofrece y los precios. Sin embargo me impacto que el detalle de uno de sus platos de entrada escribieran que los langostinos arrebozados venían con una salsa ""marinara"" y realmente…"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Muy buena comida, lugar acogedor, buena atención!"
La Bodega de la Trattoria,"-12.1440338,-77.0758734,13z",5,"Excelente atención y buen trato, comida rápida y agradable. Un gusto poder deleitar su rica comida."
