titulo,coordenada,calificacion,comentario
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"Excelente lugar. Acogedor y buena atención. Algunos platos excelentes. El pulpo a la parrilla recomendable y los cortes de carnes buenos. Tal vez un poco caros... Los antichuchos no son su fuerte, el sabor no es el tradicional y las papas…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",1,"Bastante regular , si bien es un restaurante con renombre no se que lógica tiene de experiencia poner contenedores pequeños con varios tipos de salsa, vuelve ordinaria la experiencia. El corte estuvo regular a pesar de ser una entraña, ni…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",1,"Me sorprendió la mala experiencia que me llevé, la atención pésima, se tuvo que llamar al administrador ya que los mozos se la pasaban conversando y no se acercaban nunca. Luego el pedido unas pastas muy saladas, la carne de corte picaña…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"La comida muy rica y la experiencia muy buena.
La atención también es muy buena.
Tienen descuento con Cuenta sueldo de Interbank."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Tenía tiempo queriendo probar la sazón de éste lugar, la espectativa era ""normal"", después de todo un parrillero bueno lo encuentras en cualquier lugar, sin embargo lo interesante en esta propuesta son los acompañamientos que te ponen, con…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",3,"Podrían mejorar, atención lenta, chorizo muy regular, el flan lo trajeron sin dulce de leche... Se salvan por la calidad de la carne y la provoleta que estaba rica aunque para mi gusto no estaba muy derretida. No sé si regresaría...."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"Sus precios altos
Un postre puede estar 30 soles!!!
Comida buena, atención excelente.
Regresaría a pesar de sus precios!!"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Excelente lugar para comer carnes, toda una experiencia, la atención excelente los chicos te recomiendan lo mejor; cuentan con una muy buena cava. El gerente es un argentino muy amable que con gusto te podrá dar una buena cátedra para que tú mismo prepares tus buenas parrillas 🥩🍷👍🏼…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Excelente carnes ya que es su especialidad, viene con una variedad de acompañamientos, muy ricos cócteles y además una excelente atención y éste es un punto importante en cualquier negocio, es su tarjeta presentación"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",3,Por qué tres estrellas? Porque la calidad de la carne que se come no corresponde con el precio que se paga
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",2,"Para la publicidad que tiene nada que ver la comida y encima un servicio de lo peor, me estaba llevando una botella de vidrio por la que pague 18 soles y me quedaba la mitad y me querían cobrar 50 soles por llevármela, y 3ncima se pusieron malcriados"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Fui a celebrar mi santo con mi novia y la experiencia en general fue excelente. Tienen acompañamientos ilimitados incluidos en el servicio y viene papás fritas, tomates deshidratados, puré de papas, puré de camotes, etc. No cuestan extra,…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"La mejor steakhouse de Lima tiene una variedad de cortes de carne buenisima, el servicio al cliente es de primera se los recomiendo si es que quieren ir a una casa de carnes en Lima la Cabrera debe ser su primera eleccion."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"La perfección hecha carne, comida y atención. La amabilidad y el cariño que solo La Cabrera puede brindar. Cuando se une la mejor carne con la mejor atención, nace La Cabrera en Lima. Mismo estandar, misma calidad. Felicitaciones. Nunca cambien!!!!"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",1,"Fui el día 18 de Diciembre y mi experiencia fue desastrosa.Pedi un corte de Bife 3/4 que me lo trajeron casi crudo ,reclamé y me dijeron q traerían una parrillita para calentar que nunca llegó , llame al administrador se llevaron el plato…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Muy acogedor y la comida excelente, los detalles antes y después fueron el toque para sentirse a gusto."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Excelente comida, los anticuchos me parece espectaculares. Los precios? Mmm para darse un gusto de vez en cuando"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",3,"Estacionamiento en la parte inferior del local. La decoración es muy oscura.
Mozos son atentos
Deben mejorar el término de la carne. Pedimos 3/4 y llegó medio cocido... Se…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"Lindo sitio para comer carnes con estacionamiento , cumple con los protocolos . Las carnes exquisitas , pero sus acompañamientos ( salsas y Papas ) muy poco , contado,"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"Muy oscuro no se ve lo que comes, y los adicionales estaban ricos lo pude disfrutar mas si veia que eran"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Muy buena comida, pero además acompañado de una variedad de salsas y acompañamientos que son un festival de sabores! El servicio de primera!"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",1,"Publicidad engañosa con respecto a descuentos el club el Comercio. Caro y las cantidades servidas son inferiores a las indicadas en la carta. Te ves obligado a consumir agua filtrada, no tienes otra opción. No tiene terraza. El personal de atención es muy amable. Lastima la pésima gestión del gerente o propietario"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,Excelente servicio y buenos productos. Una parja ganadora. Muy recomendable
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,La comida deliciosa en su punto y la atención de primera. Gracias por dejar sentir el sabor original de la carne. 👏👏👏👍…
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,Espectacular!!!! Una experiencia recomendable totalmente. Pedimos un ojo de bife con hueso y vino con una variedad de mini guarniciones que podías repetir las veces que quieras.
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Excelente steakhouse, muy buena calidad de carnes. Los cortes bien servidos y c toda la experiencia que te dan de cortesía terminas repleto... me encantó el puré de camote, las papas nativas deliciosas.…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Excelente restaurante, esmerada atención, las carnes de primera, los aperitivos y vinos repetibles, altamente recomendable"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"No pidan otra cosa que sea carne , el agua , postres carisimos y trago tbn"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",2,No fue una buena experiencia....el visitar el local del Polo pero creo q le faltó un poco más en las porciones de los platos o ponerle más acompañamientos......ya que lo único que nos ofrecieron fueron salsas variadas y la iluminación del…
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,Muy buena atención. Compré para llevar. Había llamado antes para delivery o llamar para pedir por adelantado pero no tienen ese servicio. Luego de hacer el pedido en tienda tardaron menos de 10 minutos y ya tenía el pedido en mis manos.…
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"Comida, lugar y amabilidad. Encantada con las carnes y su sabor 🥰…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,Los chicos fueron muy amables y atentos todos el tiempo. La comida muy rica en términos de sabor y presentación y los tragos ni qué decir. Lo que más destaca es la cantidad de guarniciones que acompañan las carnes ya que te permiten tener varias experiencias de sabores con un mismo corte de carne.
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",2,Los cortes que pedimos no fueron los mejores. La entraña llegó fría y con sabor ligeramente sobrecocido en el exterior. Otros cortes tenían mucha grasa.
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",3,"Me parece que fui con mucha expectativa y salí decepcionado. Prefiero de acompañamiento una buena ensalada y papas. La carne argentina que tanto me aconsejó el mozo no estaba buena, sin sabor, pedí término medio y me la sirvieron casi…"
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,"La Cabrera es un restaurante de muy buena calidad y de fina atención.  Representa el tipo de restaurantes argentinos o uruguayos, con buena carne y agradables acompañamientos."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"La comida rica, pero nos ubicaron mal, pese a estar casi vacío el local, que la comida se e frío rápido.  La iluminación muy pobre."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",5,Excelente sabor y lugar muy agradable
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"Muy buena atención precios regular - alto, los platos son personales. No hay parrillas familiares pero los cortes que ofrecen están muy buenos. Las guarniciones particularmente no me agradaron mucho. Pero hay alternativas interesantes."
La Cabrera El Polo,"-12.1440338,-77.0758734,13z",4,"Cortes realmente de otro mundo, la carne estuvo buena, sin embargo la sazón no estuvo nada espectacular. Realmente hubiera sido mejor solo cocinarla con sal y pimienta. Sin embargo, destaco que el mesero estuvo muy abierto a las…"
