titulo,coordenada,calificacion,comentario
La Jarana De Surco,"-12.1440338,-77.0758734,13z",4,"Excelente sitio para disfrutar de música buena y excelente comida, puedes venir con tu familia y amigos.."
La Jarana De Surco,"-12.1440338,-77.0758734,13z",1,"Muy mala la atención, los mozos ni siquiera qué platos tienen, se pierden en la atención y ni siquiera te traen cubiertos, tienes que levantarte a pedir igual con las bebidas"
La Jarana De Surco,"-12.1440338,-77.0758734,13z",5,"Uno de los pocos y buenos lugares que han quedado en Surco Pueblo, después de la Pandemia... ubicación centrica a media cuadra de la Plaza de Armas.
Muy alegre, divertido, grato ambiente, música variada, para toda edad, buenos…"
La Jarana De Surco,"-12.1440338,-77.0758734,13z",5,"Los anticuchos muy buenos, el chanchito también pero el pollo al cilindro me toco crudo. Los fines de semana  Te cobran 50 soles de consumo como mínimo para ver el show que es muy bueno."
La Jarana De Surco,"-12.1440338,-77.0758734,13z",5,"Grato ambiente familiar con atención esmerada y música en vivo los fines de semana. La diversión está totalmente asegurada, hacen show criollo y espectaculares danzas típicas del Perú"
La Jarana De Surco,"-12.1440338,-77.0758734,13z",1,"PÉSIMO, desde el mozo y el señor de caja , q solo se preocupa de cobrar antes de atender bien al los comensales , pésima la comida, los aderezos con totalmente grasosos al ver la cocina ni siquiera utilizan aceite usan grasa de animal para…"
La Jarana De Surco,"-12.1440338,-77.0758734,13z",4,Fuí con unas amigas de la promoción a celebraa el cumple de la miss y disfrutamos desde que llegamos hasta q nos fuimos. Es un lugar agradable y muy divertido. La comida buena y la atención también. Buen ambiente se puede bailar 👍…
La Jarana De Surco,"-12.1440338,-77.0758734,13z",3,"El local se ve bonito, pero no me gustó la comida. Pedimos anticuchos pero no pasa nada... que pena que la pandemia haya cerrado varios locales."
La Jarana De Surco,"-12.1440338,-77.0758734,13z",4,"Agradable para lugar, disfrutas el bailar y comer rico"
La Jarana De Surco,"-12.1440338,-77.0758734,13z",5,Excelente lugar para festejar y compartir con buena música en vivo y una atención insuperable
