titulo,coordenada,calificacion,comentario
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Muy buen lugar, después de mucho tiempo volví y ha crecido mucho, y tiene mucha oferta gastronómica, los tres platos que pedimos con mi familia estuvieron muy bien, buen tamaño y buen sabor. Además compramos yogurs para llevar, siempre muy buenos."
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Excelente platos, sus refrescos naturales.
Muy bien servicio."
La Molina U Restaurant,"-11.9985068,-77.161702,11z",4,"Excelente restaurant con comidas muy variadas de nuestro querido Perú permítanme  mencionar algunos de ellos :  cuy chactado , arroz con pato, trucha frita, sancochado , patasca , seco de cabrito y otros y que no decir del área de parrilla…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Excelente lugar para comer al aire abierto (aunque también hay espacios internos), con naturaleza y aire fresco, la atención fue de lo mejor y la comida divina"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",3,"Bueno
Recomendable
Buena atención…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Un restaurante para ir en familia, aire puro, soy vegana,  me ofrecieron opciones, un momento familiar ameno, dentro hay plantas y árboles frutales en venta, hay un café y otras variedades, me gustó mucho.…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",4,"Regrese después de tiempo. Relación precio va calidad muy bueno. Los platos típicos no los puedes perder, pero me sorprendió gratamente los platos de carnes a la parrilla, q son de muy buena calidad y a buen precio.…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Excelente lugar para comer ,todo muy rico 😋…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Ambiente rústico y agradable, buena comida y atención."
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,La comida estuvo rica y los picarones buenísimos.
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Buen lugar para almorzar, platos deliciosos y de calidad"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Recomendado, buen desayuno, almuerzo, ambiente, servicio y natural."
La Molina U Restaurant,"-11.9985068,-77.161702,11z",4,"El restaurante se inició como una extensión de los alumnos de industrias alimentarias.
Hoy ha cambiado bastante. La demanda supera el servicio.…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,Muy buen lugar para almorzar con la familia.  Los precios no son muy cómodos pero el sabor y calidad lo compensan.  Todo muy rico. Muy recomendable.
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Agradable para un almuerzo en familia o amigos.
El lado negativo es que las mesas son muy bajas y para una persona con más de 1.80 de altura queda terrible poder sentarse y encajar las piernas debajo de la mesa 🤷🏻‍♂️.…"
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,Una parrilla de tres carnes bien despachada y de buen sabor en un ambiente campestre y tranquilo. Excelente relación calidad/precio
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"Buenísimo! Desayunos y almuerzos top. Pan con Chicharrón delicioso y venden varios cortes de carnes, chancho al palo, comida criolla. Lugar campestre muy bonito."
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,"La comida es deliciosa, he ido en varias oportunidades y todos los platos que he pedido han sido muy buenos, el problema es que hay bastantes moscas y más en la temporada de verano."
La Molina U Restaurant,"-11.9985068,-77.161702,11z",5,Súper lindo el centro de ventas con el centro de comidas. Recomendacion con el personal de atención al cliente mejoren la atención porfavor para que sea una completa experiencia.
