titulo,coordenada,calificacion,comentario
La Picantería,"-12.1167699,-77.0282922,17z",5,"Elegimos el pescado del día y lo pedimos en tiraditos y a la parrilla. El pescado era muy fresco, acompañado con salsas deliciosas. El pisco sour muy rico también. Es verdad que es un restaurante caro pero nos ha encantado la experiencia y la comida."
La Picantería,"-12.1167699,-77.0282922,17z",3,"El cliente elige su pescado y se encargan de elaborlalo los platos que gusten. Cocinan bien y es una experiencia, pero la comida y las bebidas son algo caras. Comida para dos con dos cervezas artesanales fueron 236 soles.…"
La Picantería,"-12.1167699,-77.0282922,17z",1,"No me gustó el servicio, éramos cuatro personas. Nos trajeron platos para tres y cuando habíamos terminado de comer recién llego el pedido de la cuarta persona.. la idea de venir en grupo es compartir.. Si te advierten o de dicen que hay un…"
La Picantería,"-12.1167699,-77.0282922,17z",5,"El local es muy lindo, el espacio de arriba es muy fresco y abierto, y el de arriba es lindisimo con todas sus decoraciones.…"
La Picantería,"-12.1167699,-77.0282922,17z",2,"Restaurante basado en el estilo “Mercado” donde el cliente “compra” su pescado y/o mariscos, y ellos se encargan de elaborlalo según varios tipos de cocciones peruanas.…"
La Picantería,"-12.1167699,-77.0282922,17z",5,"La gastronomía de este lugar es exquisita, Te ofrecen el pescado entero y lo aprovechan por completo: en aguadito, platos frios y platos calientes. Buena presentación en sus platos. Excelente atención. El lugar está muy bien decorado. Por…"
La Picantería,"-12.1167699,-77.0282922,17z",5,"En las áreas aledañas a la municipalidad y comisaría, de lo que podríamos denominar Surquillo Pueblo, podemos encontrar varios restaurantes muy interesantes, pero nada más destacado que La Picantería, de la cual ya me habían comentado y…"
La Picantería,"-12.1167699,-77.0282922,17z",4,"La Picantería es un lugar donde de todas maneras encontrarás comida muy rica. De todo lo que probamos el pulpo estuvo delicioso y suave, luego el costillar, el ceviche y el estofado de pato. Muy recomendable."
La Picantería,"-12.1167699,-77.0282922,17z",5,"Muy bien lugar para comer, era mi primera vez en una picanteria y me explicaron la dinámica mientras me traían una sopita de cortesia, consiste en elegir tu pescado y te lo preparan de 3 maneras distintas, yo elegi la Cabrilla de 1.250gr y…"
La Picantería,"-12.1167699,-77.0282922,17z",4,"Muy buen servicio y todo lo que pedimos estaba rico y con muy buena presentación, lo único que no me gustaron mucho fueron las almejas.
Precios un poco elevados"
La Picantería,"-12.1167699,-77.0282922,17z",5,"Este lugar es brutal!! Las atencion excelente, bien asesorados por la mesera que nos atendió. Escogimos un par de pescados y las preparaciones excelentes!! Las entradas no se quedan atras y el pisco sour termina de cerrar el paquete completo 100% recomendado."
La Picantería,"-12.1167699,-77.0282922,17z",5,"Compramos platos para compartir y todo estuvo excelente. Ceviche, pato y parihuela. Fue algo caro, terminamos pagando como 140 soles y éramos como 10 pero lo valió.…"
La Picantería,"-12.1167699,-77.0282922,17z",5,"El lugar es excelente. Sugiero hacer reserva y llegar temprano. Si amas la comida marina, este lugar es para ti. Todos los platos y las bebidas, recomendadísimos."
