titulo,coordenada,calificacion,comentario
La Posada,"-12.1157084,-77.0286712,17z",1,Siempre iban comer ahí pero hoy me dieron un pollo crudo fui a reclamar y el cocinero me dijo q estaba bien cocido y todo y estaba sumamente crudo no me hizo el cambio así q nunca más volveré q comer ahí perdieron un cliente.
La Posada,"-12.1157084,-77.0286712,17z",3,"Un lugar medio, con buenos y variados platos, pecios bajos, regular atención, la zona no es muy buena de noche, de día no hay problema, está cerca del mercado N 2 de surquillo, digamos que es un sitio popular para recursos medios a bajos.."
La Posada,"-12.1157084,-77.0286712,17z",5,Buen lugar delicioso todo y buen precio.
La Posada,"-12.1157084,-77.0286712,17z",5,Buen lugar deberían mejorar un poco sus instalaciones pero la comida es buena .
La Posada,"-12.1157084,-77.0286712,17z",4,"Buen producto, deberian coordinar mejor su delivery"
La Posada,"-12.1157084,-77.0286712,17z",3,"Te sirven generosamente....tienen buena sazón ...,"
La Posada,"-12.1157084,-77.0286712,17z",5,"Excelente atencion, esmerada y con los protocolos de seguridad establecidos"
La Posada,"-12.1157084,-77.0286712,17z",4,El menú de 11 soles es muy rico y contundente
La Posada,"-12.1157084,-77.0286712,17z",3,Lugar agradable y tranquilo para acudir con la familia
La Posada,"-12.1157084,-77.0286712,17z",5,A pesar de su antigüedad ese pollito no pierde su saborsito.
La Posada,"-12.1157084,-77.0286712,17z",5,Excelente atención y buen trato
La Posada,"-12.1157084,-77.0286712,17z",5,Muy rico
La Posada,"-12.1157084,-77.0286712,17z",5,Todo rico
La Posada,"-12.1157084,-77.0286712,17z",4,Buena experiencia.
La Posada,"-12.1157084,-77.0286712,17z",5,Buen Pollo
La Posada,"-12.1157084,-77.0286712,17z",5,Delicioso pollo as…
