titulo,coordenada,calificacion,comentario
La Preferida,"-12.1320498,-77.023429,13z",4,Ya van 2 ocasiones que la visito y salgo satisfecho de su gastronomía. Aunque sus precios son altos vale la pena darse un gusto de vez en cuando. Buena atención y tiene una carta interesante de platos en base a pescados. También ofrece…
La Preferida,"-12.1320498,-77.023429,13z",5,"Me encantó el lugar, buen ambiente, una decoración diferente y en general buena comida. Fui la noche previa para conocer, como eran casi las 9pm no había mucha gente y me animé a probar un caldo ""levanta muertos"", un jugo surtido y un pan…"
La Preferida,"-12.1320498,-77.023429,13z",5,"El local es bonito y grande, la atención de los meseros tmb es muy buena, bastante serviciales y atentos. La comida a primera vista me pareció un poco cara. Pero después de probarla. Riquísimo. Volveré de todas formas."
La Preferida,"-12.1320498,-77.023429,13z",5,"Buenazo para almorzar. La ensalada de langostinos, buenísima (lechuga, papá, palta, langostinos y cebolla blanca). Excelente atención!"
La Preferida,"-12.1320498,-77.023429,13z",5,"Sosiego
Puedes conversar, cenar
Buena distancia entre las mesas"
La Preferida,"-12.1320498,-77.023429,13z",5,"Muy recomendado. Los desayunos son buenísimos, adicionalmente me gusta que tengan variedad de sabores de infusiones, no sólo los clásicos manzanilla y té negro. Yo recomiendo el sándwich de chicharrón BBQ. Es buenísimo 10/10."
La Preferida,"-12.1320498,-77.023429,13z",4,"Excelente restaurante. Buena comida desde el desayuno. Buen bar, para las tardes y noches.
No se pierdan el desayuno chalaco, el sándwich de pejerrey. Es buenazo. Igual en pan con chicharrón."
La Preferida,"-12.1320498,-77.023429,13z",5,"El mejor pisco sour que he probado en mi vida y el favorito de la tarde fue una trilogía de ceviches que describiría como una explosión de sabor. La atención es excelente, los precios accesibles y el lugar es supremamente agradable. Un restaurant al que si estás cerca no debes perderte la oportunidad de ir 🙏…"
La Preferida,"-12.1320498,-77.023429,13z",4,Recomendado. Buen servicio y comida de primera. Precio promedio por plato S/. 35
La Preferida,"-12.1320498,-77.023429,13z",5,"Muy rico. El precio es un poco elevado pero las porciones son generosas.
Yo tuve que compartir de mi plato porque era mucho para mí 🤭…"
La Preferida,"-12.1320498,-77.023429,13z",3,"El local es amplio y cuidan el distanciamiento  y los cuidados en la mesa. Te dejan una botella spray de alcohol para uso en cada mesa. Hay una promoción de 2x1 en pisco sour por 31s, pedimos también algarrobina. Tienen un sandwich muy rico de asado con palta, probamos la causa de pollo. Es una buena opción y cumplidora."
La Preferida,"-12.1320498,-77.023429,13z",1,"Cómo comenzar!
Bueno... La preferida, hace 7 años aproximadamente empece a frecuentarlo, día a día, cada vez que iba y siempre que quería platos marinos, La preferida, para…"
La Preferida,"-12.1320498,-77.023429,13z",5,En La Preferida no solo encuentras deliciosos platos de comida criolla e internacional sino tambien sus variados postres. El dia que fui compré un keke de manzana......deli deli!
La Preferida,"-12.1320498,-77.023429,13z",5,Siempre muy rico y fresco es un restaurante nostálgico qué existe hace muchísimos años y mantiene la calidad hoy en día han actualizado sus platos fusión siendo realmente espectaculares como la  comida criolla y  como pescados y mariscos
La Preferida,"-12.1320498,-77.023429,13z",4,Buen punto para ir a comer en familia o con amigos ... es super tranquilo y tiene  buena atencion ... sus sanguches son buenazos  tienen un toque especial.los precios son  basicos . Aparte que tienen una promo de all you can eat de sus mini sanguches  a 25 soles  . Un exito. Volveria mil veces.
