titulo,coordenada,calificacion,comentario
La terracita,"-12.0930607,-77.2370447,11z",3,"Ingresé al mediodía y solo consumí un jugo de naranja, pues los demás platos no estaban disponibles por que a esa hora solo atienden menú. Me comentaron y pude constatar que hacen bastante delivery de su menú. El lugar es acogedor, tienen…"
La terracita,"-12.0930607,-77.2370447,11z",3,"Precio calidad, nada espectacular."
La terracita,"-12.0930607,-77.2370447,11z",5,"La comida muy rica, sabor de casa y super atentos"
La terracita,"-12.0930607,-77.2370447,11z",1,"La comida s rica, debe mejorar el servicio del personal extranjero, si vas solo, vas a barra o tienes que compartir la mesa, no tendría inconvenientes de compartir, no atienden por orden llegada, después de media hora te dicen que se acabó un plato."
La terracita,"-12.0930607,-77.2370447,11z",3,"La comida no esta mal pero puede ser mejor, el ambiente es bueno aunque pequeño. La atencion de los dueños, buena. Deben mejorar la atencion de algun personal extranjero que contratan, a veces se le olvidan los modales."
La terracita,"-12.0930607,-77.2370447,11z",5,Muy buena comida y excelente atención
La terracita,"-12.0930607,-77.2370447,11z",3,Todo rico pero el espacio es muy reducido y en ocasiones hasta cola se hace .
La terracita,"-12.0930607,-77.2370447,11z",5,"Buena comida, buena atención"
La terracita,"-12.0930607,-77.2370447,11z",5,"Buena comida, muy solicitado a la hora de almuerzo ejecutivo"
La terracita,"-12.0930607,-77.2370447,11z",5,"Todo bien , limpieza y comida muy recomendable"
La terracita,"-12.0930607,-77.2370447,11z",4,Muy bueno para almorzar
La terracita,"-12.0930607,-77.2370447,11z",4,Para el precio no está mal menús criollos de s/10 y s/12 .Mucha demanda
La terracita,"-12.0930607,-77.2370447,11z",5,Rico y muy buena atención!!
La terracita,"-12.0930607,-77.2370447,11z",1,"Mala sazón, mala atención y precio elevado"
La terracita,"-12.0930607,-77.2370447,11z",5,Muy buena ensalada de frutas
La terracita,"-12.0930607,-77.2370447,11z",4,El Real menú podrían mejorar las porciones
La terracita,"-12.0930607,-77.2370447,11z",4,Buen menu
La terracita,"-12.0930607,-77.2370447,11z",4,Sabirt casero y agradable
La terracita,"-12.0930607,-77.2370447,11z",4,Buen servicio
La terracita,"-12.0930607,-77.2370447,11z",3,Muy congestionado
