titulo,coordenada,calificacion,comentario
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Me gustó mucho el restaurante,  primera vez que voy. Un lugar con un ambiente agradable, buena atención.  .  Tienen una carta con variedad de platos a escoger dependiendo el gusto del cliente. Lo recomiendo."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",1,Si hablamos solo de sabor: pésimo. Parecía un pollo frito no tenía sabor a la brasa por ningún lado. Papas fritas q al enfriarse se ponen piedra. La ensalada en algo. Lo mejor la chicha morada. La verdad que dejo mucho que desear. Para qué regresar?
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Llegamos buscando algo que comer, y encontramos donde disfrutar. Excelentes ambientes, buena música, con toques peruanos y blues, la espera fue amena. La atención se merece 6 de las 5 estrellas súper rápida, atenta, y presta a ayudar. La…"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Muy buena sazón y excelente servicio
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Ubicado en el cruce de av. Raul Ferrero y Av. El Corregidor. La especialidad es pollo a la brasa pero tambien se sirven parrillas. Muy recomendables las papas fritas.
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",1,"Definitivamente ya no es lo que solía ser en los años 90` hoy en día el pollo lo entregan tibio medio blanco, tibio y con un sabor super básico con decir que la polleria de la esquina de mi casa tiene mejor sabor y sazón en todo. Las papas…"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Lugar amplio.  Gran servicio. Excelente Carta. Estaba todo tan rico que no tome foto de la comida 😜. Recomendado al 100%.…
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Bien ubicado en La Molina, ambientes amplios, en el estacionamiento si hay problemas los días domingos ya que los deliverys ocupan casi todo el eatacionamiento. Atienden los pedidos rápidos, pedí una ensalada y me pareció cara para la cantidad que sirven. Buena atención"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Buen servicio ,buena comida,en un ambiente agradable.Solo 7na pequeña sugerencia.Podrian poner un gancho,colgador en el baño del primer piso.A veces llevamos una mochila o maletin"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Excelente comida, buena atención, temática genial recomendable!! 🤗🤗…"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Pidan el pollo o la salchipapa. Para los fans de las ensaladas, la ensalada caesar no la recomiendo, ya que por la relación precio/calidad, preferible ir a otro lugar. Si les gusta  los cócteles dulces hay uno de pisco con fresas y…"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Excelente la ensalada, muy rika!!!!"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Muy buena comida..aunque deberían ampliar el horario
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Buen lugar para ir a comer. El salón es fresco.
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Pase apurado y pedi pollo z la brasa con papas y estaba delicioso y la ensalada muy fresca me encanto ,el servicio muy amable y rapida atencion,local en la molina."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Buen lugar para comerse un pollito a la brasa, tienen otros platos que son buenos tambien, buen ambiente!!!"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Hay platos del día que son deliciosos. La atención es excelente y la decoración del local formidable. Posee todos los protocolos de bioseguridad y un estacionamiento de un solo nivel. Totalmente recomendado!…
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Recomendado atienden rápido deli y ambiente fresco para el calorcito
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Muy bueno! Celebramos un cumpleaños ahi y todo muy bien!!! El sabor, calidad, precio y servicio!"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Excelente el local, el pollo muy rico y la atención del personal muy buena."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Buena opción de restaurante para comer pollo en la ciudad. Cuenta con amplio estacionamiento.
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,Ambiente agradable comida aceptable precios y calidad adecuados.
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",3,Buena comida pero faltó un poco más de atención para la entrega de la cuenta.
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"La comida muy buena el pollo al hoisin me gusto pero su acompañamiento arroz chaufa no me gustó el sabor , preferible hubiera sido arroz blanco , su puré muy rico.…"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,Lugar tranquilo  buena atención buenos servicios higiénicos buen sabor del pollo el Ají  no es fresco
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",3,"Bonito lugar, pero me estaban cobrando el plato equivocado, sus pollos son deliciosos pero muy chiquitos."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,Super rico auque demoraron un poco en atendernos
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,Lugar super agradable para la familia. Alternativas diferentes para el pollo y la carne de res con bebidas para los gustos max exigentes...
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Buen sabor, buen ambiente"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Buena atención ☺️ música y ambiente fresco 🙂…
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",1,"Compre un pollo a la brasa entero con ensalada cocida y papas, pues completamente horrible, el pollo estaba crudo y lo peor de todo es que ni sabor tenía, era como consumir un pollo sancochado, las papas no tenían nada de espectacular en…"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",3,"Las alitas orientales tienen un buen sabor, sin embargo no viene con ningún complemento y resultan algo caras para la cantidad que viene."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Un sabor diferente q me encanto
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",3,"El sabor y la sazón es buena pero el pollo se ha reducido. Y la mayonesa por la cual se hizo famosa, ya es común. Como que perdió personalidad"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Se los recomiendo buena atención y calidad también
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Buen lugar, en horas pico se complica por el tráfico."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",2,"La comida no tiene sabor agradable, el precio no compensa"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Buena carta, buena atención. Ambiente muy agradable."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",3,"Muy mala atención el día que fui, es la segunda vez que voy, no regresaré."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,"Rico el pollo, papitqs fritas buenas,
Para pollo a la brasa es epico"
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Las mejores papas fritas. El pollo en su punto. 2x1 en chilcanos y pisco sour
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Todo muy rico y en su punto. Buen ambiente y buena atención. Recomendable 👌…
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"Excelente atención, muy bien con los protocolos, te obligan a lavarte las manos. El menú del día excelente."
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",4,Tienen q probar chaufa brasa. Y las mejores papas fritas de Lima.
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Buen servicio y la comida riquísima. El lugar es amplio y acogedor. Muy recomendable👍…
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",1,Ya no hay ofertas y los precios son excesivos para la cantidad y calidad que entregan.…
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,Muy rico! Aunque la porción del pollo pudo ser mas generoso...
Mediterráneo La Molina,"-11.9985068,-77.161702,11z",5,"La parrilla estuvo agradable ,para disfrutar en familia"
