titulo,coordenada,calificacion,comentario
Mercado Aviación,"-11.9985068,-77.161702,11z",3,"El sitio es muy concurrido, normalmente debes hacer reserva o esperar a lograr un sitio si vas en fin de semana. La opción de carta abierta te da varias opciones y variedad, pues puedes pedir platos de cada uno de los sirios del mercado. En…"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Vine porque siempre pido las hamburguesas por delivery (las mejores de Lima en este momento, a mi parecer). Tienen una carta de platos ricos y grasosos pero de estándares mayores a los de su clase y una buena variedad de tragos. He tenido…"
Mercado Aviación,"-11.9985068,-77.161702,11z",3,"No le doy 5 estrellas por el empleado que nos recibió que no nos explico bien la manera que se emplea el ""All You Can Eat"", nos dijo que se tenía que completar 69 soles por persona. Lo hicimos y sin embargo, ya al pedir la cuenta, una…"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Tuve el gusto de visitarlo por el cumpleaños de mi mamá, en julio. Me gustó el concepto, algo así como la reinterpretación de un mercado popular. Hay cuatro tipos distintos de comidas (sushi, mexicana, pizza y hamburguesas) y se pide a uno…"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"El local es bonito, sin embargo en invierno se siente bastante el frío debido a que el techo es abierto.
La comida mexicana es buena, las pizzas son regulares y los makis son malos ya que el arroz y el aguacate es muy aguado, las hamburguesas son regulares."
Mercado Aviación,"-11.9985068,-77.161702,11z",2,"Poca ventilación para un lugar de regular tamaño, las mesas están muy cerca de las cocinas y quizá por eso está tan caluroso adentro, pero se solucionaría si pusieran ventiladores más potentes y no esos ventiladores chiquitos que no hacen…"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Primera vez que vengo, pero no será la última, el lugar súper, la calidad de la comida simplemente espectacular, esta hamburguesa Crazy Burger Spicy fue fantástica, paso a ser de mis favoritas en una, sus tragos muy buenos, pedí el…"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Excelente lugar, muy buena comida. Recomendación: Ir en grupos grandes para que prueben la variedad de platos disponibles."
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Me gusto la temática del lugar, las mesas para 2 personas deben ser más grande para el tamaño de platos que sirven."
Mercado Aviación,"-11.9985068,-77.161702,11z",3,"El personal todos muy amables, fuimos martes había poca gente, lamentablemente nos toco la pizza salada, por el precio no lo recomiendo."
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Fui con mis hijos un domingo, temprano para evitar las colas, las hamburguesas recomendadas junto con la comida mexicana. Deberían mejorar los makis y las pizzas."
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Lugar agradable, los tacos ricos aunque pequeños; es mejor pedirse la oferta de 3. La salsa y el picante muy buenos."
Mercado Aviación,"-11.9985068,-77.161702,11z",5,Excelente ambiente la comida estaba buenísima excelente verdaderamente delicioso.
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Excelente comida, regresaría de nuevo, sin embargo, las bebidas podrían mejorar."
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"Horrible, te obligan la barra libre de todo que está 70 aunque no quieras, la barra libre de tacos horrible, al comienzo todo bien pero cuando pruebas varias cosas todo te sabe igual y no había churros, no es barra libre porque solo es según lo que ellos querían, penalidad de no terminar de 100 soles, no lo recomiendo"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Este lugar me encanta!!! La opción de almuerzos a s/ 19.90 de lunes a viernes de 12 a 4 pm vale mucho la pena! Puedes probar platos excelentes de los 4 restaurantes que son riquísimos, la atención es genial y el lugar es hermoso! Siempre es un buen plan ir a este mercado"
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"La comida no es muy buena, los makis desagradables, la hamburguesa quemada, la atención muy demorada solo habían dos mozos que no daban buen servicio. No recomiendo la barra libre o el ""all you can eat"", tenía muchas expectativas de lugar pero no fue una buena experiencia."
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"La atención es bastante buena y son muy atentos. Cuando fuimos, éramos cuatro personas pero solo queríamos tres barras libres, inicialmente nos dijeron que no era posible porque todos debíamos pedir la barra o a la carta; sin embargo, luego…"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"La comida muy buena, el.ambiente es agradable y la atencion no fue la mejor pero es pasable, el cantinero que hacia los tragos si fue excelente"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Excelente musica, excelente ambiente, excelente comida y unos tragos super deliciosos definiticamente mi novia y yo volveremos mas seguido"
Mercado Aviación,"-11.9985068,-77.161702,11z",3,Hay promociones que no son claras por ello recomiendo que pidan que les especifiquen para que no tengan problemas en el pago. Atención regular.
Mercado Aviación,"-11.9985068,-77.161702,11z",4,La comida es rica pero a veces los meseros pueden demorar en tomar tu orden y no todos los establecimientos están abiertos desde temprano
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"Me fui decepcionado del lugar, seguramente por la alta expectativa generada. Sabía que tenía que esperar alrededor de 2 horas, menos mal solo fue 1. El ambiente es agradable, suficiente distanciamiento entre las mesas. Lo malo del lugar…"
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"Fui con 5 amigos, todos salimos defraudados del lugar, los makis no tenían sabor, la pizza estaba quemada en los bordes y cruda al medio, la hamburguesa ni que decir, nos arrepentimos de entrar a este lugar. Volvería? Definitivamente no, el…"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Muy buen ambiente y muy buena la variedad de comida, con mis amigos probamos el all you can eat y realmente cumplió las expectativas. Sin embargo, la atención dejaba mucho que desear, pedíamos algunas cosas (cubiertos, refrescos, etc) y se olvidan de traerlos, fue bastante incómodo ello."
Mercado Aviación,"-11.9985068,-77.161702,11z",5,Barra libre bien variada y a precio razonable! Los cocteles son biem ricos también.
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Me gustó mucho la comida y los tragos, hay muy buena variedad, los makis son deliciosos, los tacos me parecen muy buenos, lo mejor de todo son las hamburguesas. Lo único malo es que todo es en porciones grandes, entonces para poder probar…"
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"No les coloco media estrella porque no hay opción 👎.
Los pedidos llegaron a destiempo. Otros no llegaron.
Es un completo desastre, no tienen coordinación con los pedidos. Los makis nada…"
Mercado Aviación,"-11.9985068,-77.161702,11z",3,"Es un súper lugar, pero a pesar de ser pet friendly los mozos son muy flojo cuando te sientas afuera, porque justamente con tu mascota no puedes entrar. Es una pena, es un buen lugar pero cuando estás afuera la atención deja mucho que desear"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,Un lugar muy bien ambientado para ir a comer en familia. Lugar amplio para ir en grupo grande. La comida es muy rica.
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"La comida no es tan buena. Los precios son muy altos para lo que ofrece el restaurante. Se tarda mucho los pedidos, vine por el concepto de “barra libre” y perdí el apetito en el segundo plato, no estuve satisfecho"
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"Pésimo servicio. Llegamos al promediar las 8.40 o 9pm. Hicimos pedidos de diferentes restaurantes: pizza, makis y hamburguesas. La pizza, pedimos una preparación especial solo de mozarella y le pusieron jamón. Los pedidos de hamburguesa…"
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"Se demoran en atenderte, la comida mexicana fue nefasta y el jefe del lugar cuabdo el dije que em.cambie  el plato me dijo que me puede dar descuento para la siguiente compra..... NO VOLVERIA A ESE LUGAR AUNQUE ME PAGUEN"
Mercado Aviación,"-11.9985068,-77.161702,11z",1,"Fui el  1 de enero al local, me indicaron abrian a las 2 pm, me acerco gastando en taxis, y cuando llego recien estaban sacando mesas y me dicen no esta a abierto que a las 4 y eso abrian. Luego dije, bueno sera por festivo, me acerco el…"
Mercado Aviación,"-11.9985068,-77.161702,11z",3,"El lugar es muy bonito, buen ambiente y atención...
Único detalle que los platos a la carta son realmente pequeños"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Buena atencion, puede demorar por el volumen de gente pero son bien atentos. Hay variedad por lo que un grupo tiene suficientes opciones para cada gusto y todo tiene gran sabor"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Hay que ir temprano para tener mesa, buen all you can eat. Muy rico todo!"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,Máxima experiencia para ir en grupo.  Es divertido y el formato te permite ALL YOU CAN EAT. Hay refill de agua de Jamaica. Las pizzas son de lo mejorcito...
Mercado Aviación,"-11.9985068,-77.161702,11z",1,Se supone que cierra a las 11 de la noche pero tienen la música alta hasta las 2 de la mañana. falta de respeto hacia los inquilinos que viven a la espalda siendo una zona privada. ya va más de una semana de esto. vuelve a pasar los vecinos llamaremos a fiscalización.
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Muy rico todo lo que probamos, Sushi tower de Big Maki, Bowl chingon y tequila de Jalapeño de El Mejicano no tomé foto a la hamburguesa Smoked Smash y al hot dog day de Cheat Burguer, buenos los tiempos de cocina para sacar los platos, demoran en tomar la orden y para la dar la cuenta."
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Tienen la opción de All you can eat por 69 soles , muy buena la comida, los makis, hamburguesas,  pizzas, tacos , todos muy buenos , las margaritas son las que deben mejorar."
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Demoran un poco en la atención, la comida es agradable, cuando fui se termino la pizza y alguna opciones"
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Lugar amplio, buen servicio, variedad de comidas, recomiendo ir temprano porque se llena rápido o reciben pedidos externos que hace que demoren en la atención."
Mercado Aviación,"-11.9985068,-77.161702,11z",4,"Buen concepto, la comida es rica.
En horario de almuerzo como que falta personal y te demora hasta esperar la cuenta."
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Espectacular 100% recomendado, ir temprano porque el aforo es un poco pequeño. Comida súper rica"
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Es mi segunda visita, en la primera quede picada con las hamburguesas... En esta ocasión repetimos las hamburguesas y estaban super ricas..."
Mercado Aviación,"-11.9985068,-77.161702,11z",5,"Demasiado buenas las opciones. La atención de los chicos excelente, muy amables, agradable ambiente y música👍…"
Mercado Aviación,"-11.9985068,-77.161702,11z",3,"Buena atención de la moza,  pero al pedir la comida la encargada de makis se encontraba en refrigerio y nadie se enteró hasta que 20 min después se acercaron a decirme lo que había pasado. Les.agradeci y me retiré a almorzar a otro lugar.
Es una pena que no se organizen y nadie sepa que pueden servir y que no."
Mercado Aviación,"-11.9985068,-77.161702,11z",2,Pedi una pizza y la masa estaba cruda.. no volvería
Mercado Aviación,"-11.9985068,-77.161702,11z",5,Muy bonita experiencia y todo muy rico.
Mercado Aviación,"-11.9985068,-77.161702,11z",3,Al comenzó no había atención pero luego el mesero Andres túvo muy buena atención. La comida estuvo rica !
