titulo,coordenada,calificacion,comentario
Peruanazo Restaurante,,2,"No me parece que quien este cocinando, en este caso un ceviche, pruebe de la misma cuchara a su boca y varias veces y después los clientes debamos comer del mismo preparado, en la foto se ve la cocina, quien hacia lo que comente se fue al…"
Peruanazo Restaurante,,1,"Pésimo trato de parte de todo el personal, pedí una leche de tigre y la copa llego rota, reclame y me trataron súper mal alegando que yo la había roto y nada puede estar más fuera de la realidad por qué no le hice nada, el mismo dueño fue a…"
Peruanazo Restaurante,,4,"Conocí el local de casualidad pasando por Surquillo en búsqueda de un lugar para almorzar con mi familia.
Debo decir antes de hacer mi calificación de la forma tradicional, que nos dio…"
Peruanazo Restaurante,,5,"Variados platos a la carta y también hay Menú, muy rico y cómodo"
Peruanazo Restaurante,,5,Un excelente lugar para compartir en familia. La comida buenaza.
Peruanazo Restaurante,,2,Menu caro y sin buen sabor
Peruanazo Restaurante,,1,"La comida me pareció cara, me pedí un trio, chicharron de pescado, arroz con mariscos y ceviche, nada que ver, todo salado y ese día le subieron el precio, nada que ver, parece un restaurante de carretera, mucha bulla."
Peruanazo Restaurante,,3,Buena comida ....ubicado en primer piso ...atención.  .un poco buena ...
Peruanazo Restaurante,,5,"Uffff no. Fuera del sabor (que es riquísimo, tremendo huarique crjo!), Las chicas que atienden tienen una química divina (super educadas y amables), trabajan en una sincronización única entre ellas, la cosina y el personal de delivery.…"
Peruanazo Restaurante,,5,"Buena comida, buen ambiente."
Peruanazo Restaurante,,5,"Buen restaurante para comer en grupo o con la familia, seguro, variedad de platos para escoger"
Peruanazo Restaurante,,2,Atención demorada y desinteresada de las meseras y del dueño tanto en toma de pedido y te hacen esperar más de 20 minutos para platos marinos. Priorizan atención a Delivery o pedidos de clientes para llevar que a usuarios del local.…
Peruanazo Restaurante,,1,"Menú variado pero muy básico, falta mejorar la atención a mesas por las anfitrionas que al parecer les falta entrenamiento. Deberían calmar un poco al encargado porque empezó a gritar a una de sus colaboradoras sin ningún reparo en frente de todos los comensales."
Peruanazo Restaurante,,1,"Malísima atención, su ensalada y su ocopa horribles sin gusto
Las camareras se demoran un año en tomar tu pedido, ni más vuelvo a ese restaurante
0 recomendado"
Peruanazo Restaurante,,5,Buena atencion y deliciosa comida
Peruanazo Restaurante,,4,"Muy buena la comida. El menú súper cómodo  y platos variados. L lugar acogedor, personal amable. Recomendable."
Peruanazo Restaurante,,5,Buen menú
Peruanazo Restaurante,,2,"Demoran demasiado en servir los platos marinos, falta personal para atender a todas las mesas, deben avisar si aceptan tarjeta, si no vas con efectivo no hay bancos cerca para retirar, genera demasiada incomodidad que no te atiendan como debe ser. Lo rescatable, la comida."
Peruanazo Restaurante,,3,"Good food and very bad work atmosphere
La comida buena pero no pude comer tranquilo por escuchar que el dueño gritaba a sus trabajadores .."
Peruanazo Restaurante,,4,Los platos criollos valen el precio. Sus platos marinos son buenos pero el tamaño es algo pequeño para el precio. En verano no es muy recomendable porque hace bastante calor en el día.
Peruanazo Restaurante,,5,"Un excelente lugar para comer muy rico, higiénico y muy pero muy cordial"
Peruanazo Restaurante,,5,Muy bien su menu buenazo.y con la musica ni hablar felicitaciones prlnto volveremos.
Peruanazo Restaurante,,3,"Es un lugar para almorzar muy tranquilo,la comida regular en sazón y en algunos segundos tiene  que llevar un complemento por ejemplo unos tallarines verdes con su ocopa."
Peruanazo Restaurante,,5,"Atención rápida y buena sazón, aseado. Muy buen lugar."
Peruanazo Restaurante,,1,"Mala comida, la atención dejó que desear( no dan carta) y caro. Hacen caso omiso a los protocolos de seguridad."
Peruanazo Restaurante,,5,"Excelente variedad de platos buena sazon
Grato ambiente"
Peruanazo Restaurante,,4,Agradable ambiente. Precios aceptables. No aceptan pago con tarjetas.
Peruanazo Restaurante,,5,"Excelente buenos platos a la carta , para escoger"
Peruanazo Restaurante,,5,"Excelente atención....variedad de platos criollos y marinos con muy sazón...el Tacutacu en su punto y la leche de Tigre deliciosa.....ahhh , olvidaba...la canchita sabrosa con toque de picor....Recomendable...👍👍👍…"
Peruanazo Restaurante,,4,Buen lugar para comer tranquilo y con espacio.
Peruanazo Restaurante,,4,Bueno para el precio
Peruanazo Restaurante,,5,"Excelente comida, muy buena atencion.."
Peruanazo Restaurante,,5,Excelente restaurant muy rico!!!.
Peruanazo Restaurante,,5,Muy buen restaurante 🍴 variedad y buen sabor…
Peruanazo Restaurante,,5,Es bueno bonito y barato siempre voy a ese restaurante
Peruanazo Restaurante,,5,"nuevo lugar en Surquillo, rico bueno y barato, opciones de menúes muy buenas, ambientación excelente, platos variados y precio módico, recomendado."
Peruanazo Restaurante,,5,"Potajes sabrosos de todas las regiones a precio de menu. Rico, bueno y barato."
Peruanazo Restaurante,,4,Por el precio y la calidad. Para mí gusto personal un poco más de sabor y sería mejor.
Peruanazo Restaurante,,5,Ambiente agradable y muy buen sabor. La causa muy recomendable. Atienden de noche.
Peruanazo Restaurante,,5,Muy buenos platos
Peruanazo Restaurante,,1,Primera ves q voy demora en el pedido no tienen para pagar  con tarjeta visa y Mastercard
Peruanazo Restaurante,,3,La comida es aceptable.
Peruanazo Restaurante,,3,"Un lugar limpio , su comida es  casera criolla y buen precio recomendable"
Peruanazo Restaurante,,5,Buena atención la comida estuvo bien
Peruanazo Restaurante,,5,"Muy rica su comida, variedad y muy buena atención de las mozas."
Peruanazo Restaurante,,5,"Ambiente limpio y ordenado, buena comida y bebidas. Buen trato al público."
Peruanazo Restaurante,,5,muy buena la atencion segunda vez q voy
Peruanazo Restaurante,,4,Bonito restaurante en Surquillo con buena atención y rica comida
Peruanazo Restaurante,,3,El mejor menú
Peruanazo Restaurante,,5,Buenazo!
Peruanazo Restaurante,,5,"La atencion es muy buena , precios muy comodos"
Peruanazo Restaurante,,5,Lindo lugar para compartir
Peruanazo Restaurante,,5,Excelente   platos.
Peruanazo Restaurante,,5,"BUENA ATENCIÓN, RECOMENDABLE"
Peruanazo Restaurante,,5,Buena opción ne Surquillo sirven bien
Peruanazo Restaurante,,5,Buenazo!!! La causa con pulpo está espectacular.
Peruanazo Restaurante,,2,Ceviche con apio y lomo saltado con puras papas
Peruanazo Restaurante,,5,La atención muy buena ..
Peruanazo Restaurante,,4,Buena comida y economica
Peruanazo Restaurante,,4,Ambiente temático y rica  sasón
Peruanazo Restaurante,,5,Buena comida...
Peruanazo Restaurante,,2,Lugar agradable
Peruanazo Restaurante,,4,Buenazo!!
Peruanazo Restaurante,,5,Buena sazón.
Peruanazo Restaurante,,5,Rico el sabor de su comida criolla
Peruanazo Restaurante,,5,Buenazo!
Peruanazo Restaurante,,4,Es bueno
Peruanazo Restaurante,,5,sabia a liebre con aderezo de ballena
Peruanazo Restaurante,,4,Lo justo
Peruanazo Restaurante,,4,Chevere
