titulo,coordenada,calificacion,comentario
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",5,"Excelente comida y servicio.
El ambiente es adecuado, está muy bien ambientado al estilo español; solo opino que al parecer por el afán de tener más comensales, las mesas las han juntado…"
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",5,Excelente atención y comida. Disfrutamos mucho la guitarra en vivo del músico Carlos Abanto !
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",4,"Buen lugar para recordar España, comida de calidad..."
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",1,Muy buena atención del chico. Lástima que la paella sabía mucho a quemado 🤢😔.…
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",3,"Buen Ambiente típico de pueblo español. Nada pretencioso . Encantadores , sencillos , buena música en vivo  algunos días .
Siempre la gente está contenta . Se ve que hay gente que es asidua.
Tapas típicas  españolas,  Buen Campari, hay sidra típica , sangría, etc"
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",3,"No quedé muy contento con el sitio, principalmente por la atención un poco fría, éramos los únicos en la mesa (5pm) y el mesero tardaba en atender, en  otro momento fui a los servicios y al regresar veo que el mesero ya había movido mi…"
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",4,"El restaurante tiene muy buen ambiente y los platos que probamos muy buenos, excepto por el jamón que aunque no estaba mal de sabor no tenía la apariencia normal de un jamón ibérico. Les hicimos saber y se nos acercaron el encargado y luego…"
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",4,"Debo confesar que es la primera vez que pruebo la paella 🥘 y me gustó mucho🫶. El precio 💰 de la misma fue de S/70 (mixta: pollo+mariscos), esta rinde para 2 personas 👯‍♀️. Tienen limonada frozen, el vaso cuesta S/10. El ambiente es muy agradable, y no había mucha gente. Sin embargo, la paella tardó 🫣⏰ 40 min.…"
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",3,"La puntuación es porque soy una persona que ama y vive para comer y tengo buena experiencia, además de que estudié gastronomía por lo mismo. Pedí paella mixta, una tabla N#1 de tapas y una tarta de queso. La paella realmente no tiene un…"
Pico y Tapa - Restaurante Español,"-12.1220962,-77.0310092,17z",5,"Me sorprendió el lugar....fui una ves y ahora caigo siempre...la mejor tortilla de patatas, pero las tapas, claritas, el cachopo (una suerte de sanduche de queso y jamón, pero en lugar de.panes escoltados x 2 tapas de carne de res apanada)…"
