titulo,coordenada,calificacion,comentario
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Buenísimo! No soy fan del pollo a la brasa, pero es muy rico ahí. También hay muchas otras opciones en la carta, nosotros probamos, además, la hamburguesa clásica, chicken cheese balls , milanesa y todo 100/100. Vale la pena. Súper recomendado🌟…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"He comido pollo a la brasa con más sabor,  aquí en este restaurante el pollo es un tamaño más chico que lo normal de una polleria. No me quedaron ganas de regresar. El servicio estuvo bien, atentos y educados. Local amplio cumpliendo los protocolos de bioseguridad."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"El pollo es pequeño, rico pero no es el mejor en la zona , las papas deberían de ser nativas. Nada del otro mundo.
Deberia mejorar con relacion Calidad -- precio.
La atención fue muy buena y cuentan con un excelente local."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"¡Me encantó el lugar! Lo ví en varios vídeos de YouTube y tenía muchas expectativas así que hice mi reserva. Cuando llegué todo era tal cual lo mencionaban, cumplen con los protocolos de bioseguridad, la atención es buena y rápida; los…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",1,"La comida es mala. El pollo a la brasa estaba seco y muy ligero de condimentos. La pechuga de pollo a la parrilla estaba muy seca, sin nada de sal o condimentos y prácticamente sin sabor. La hamburguesa vino cruda en el medio. Además de no…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,Excelente lugar para comer pollo a la brasa! Es uno de nuestros lugares favoritos y hasta ahora uno de los pocos sitios en dónde podemos comer las piezas de pollo que nos gustan sin reclamos! Nosotros somos 4 y todos comemos pecho! Las…
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,Muy buena atención y ni que decir de los platos... super bueno...
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",1,La comida excelente pero el pollo un poco crudo La atención mala. Mejoren su atención al cliente. Sean más atentos con las necesidades del consumidor
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"Comida rica, pero el personal deja mucho que desear.

1ro, anfitriona super lenta (se le iba la vida literalmente)…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,Hay estacionamiento. Ubicación céntrica en La Molina. Atención normal. Precios 35-45 soles platillo. Lugar para familias y reunionescde trabajo
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Me encanto la comida me sorprendió lo bueno que está crocantes y doradas, el lugar amplio y cómodo con buen ambiente."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",2,"El sabor del pollo está bien, pero no es riquísimo. Las papás son prefritas, si se enfrían se ponen duras. La maracuyá estaba muy ralita.…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Buenísimo. Súper rico, atención rápida y el personal es muy atento."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Los pollos tienen buen sabor, las papas fritas son crujientes y no aguachentas como otras pollerias, el ají pica rico y eso es básico en un pollo a la brasa, la ensalada que viene es fresca a base de zanahoria, lechuga, queso, en una buena…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Volví por la hamburguesa Primos, a pesar que es unos de los mejores restaurantes donde comer pollo a la brasa en lima, en mi opinión tienen una de las mejores hamburguesas de la ciudad. Totalmente justificado el costo. La atención es buena…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"El lugar : lindo y súper amplio, el segundo piso tiene mesas con iluminación y está súper bien decorado…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",2,"Al pollo un 3/10! se les pasó demasiado la cocción,  tenía ciertas partes quemadas... por ende tanto pecho como pierna estaban secos. Las papas de igual manera, algunas buenas pero otras se les pasó la cocción, se notaban que no fueron…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"Buen lugar, acogedor, muy buenas papas fritas, el pollo no me agradó mucho. Estaba como rosado. Las cremas también deben revisar."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Buena comida, local limpio, tragos ricos, si quieren estar tranquis sin tanta gente, de ñunes a jueves es la voz. Buena atención"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Buen ambiente
Buena atención
Pollo a la brasa con excelente sabor
Diversos tipos de ensaladas"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"La comida es deliciosa,pero la atención deja mucho que desear. Demoran bastante en atenderte y ni caso te hacen"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Excelente pollo, papas y salsas.
Es mejor comer en el local"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Nada que envidiar a otras pollerias, el pollo muy rico y sabroso, por no decir el mejor, la atención de primera."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"La atención buena, el pollo bueno al igual que la ensalada y papas.
El piqueo y las cremas muy agradables."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"El pollo a la brasa, nada extraordinario, la atención es aceptable y el ambiente estaba mejor con la pollería anterior."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"Las rejillas de camote son lo. mejor y su mayonesa es la típica mayo casera, uno de los mejores pollo de Lima."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"Mala atención se demoraron mucho más de lo que corresponde
El sabor bueno pero les faltaba mozos en la terraza"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"Muy rico el pollo a la brasa, muy buena atención."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Muy buena atención, el pollo estuvo buenisimo y un lugar muy bonito cumplen con los protocolos"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",2,"Esta muy lejos hacer unas de las mejores polleria...!!!
Pollo recolentado, seco y sin sabor.
Deberían de mejorar o mantener su sazón y cosion siempre."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Excelente sabor, con las papas de acompañamiento, Deli."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,Comida rica pero a pesar que no había  mucha gente se demoraron un poco en atendernos
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Un buen lugar con ambiente musical de los 80 y 90. Las papas muy buenas y crocantes como las del mediterráneo, las ensaladas frescas y el pollo es similar al de la granja azul, me encantó su atención y el lugar, perfecto para ir en grupo y familia."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"El mejor fried chicken sandwich, simplemente delicioso"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Muy crocante y sano aunque la gente está muy dormitando, muchos empleados y poca atención"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"A mi parecer me pareció caro para tan poco de pollo, el ají picaba horrible, muy bueno para los que les gusta el ají así, la mayonesa creo que mucho aceite y no tiene sabor, mejor la mayonesa casera que sale más rica, las papas no están…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,La mejor pollería de lima. Para buenos gustos.
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,"Las mesas están muy juntas. La atención medio tela pero si rápida. Sabor; estaba rico. Relación precio/producto, regular/bajo."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"excelente, sobre todo para ir con niños. La mayo es deli y papitas crocantes."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,Ambiente acogedor y la comida asi como la atencion fue buena
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Amé la atención de todo el personal, super super topp. La comida increíble y deliciosa, punto extra porque no se tardan horas y horas en llevártela a la mesa. Muy bueno para ir con la familia y niños 👍🏻🤗…"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"Buen sabor de la pierna, en pecho tienes que tener suerte"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,Buen lugar para comer pollo a la brasa ! Tiene suficiente estacionamiento para los autos que lleguen.
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,Pollo muy sabroso y jugoso.
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Nada que ver con las pollerías mas  conocidas, es demasiado rico pero también caro, vale la pena darse un gusto, el local no es nada lujoso pero la comida es de primera"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,El pollo a la brasa es delicioso!
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,Muy rico y el local grande y lindo :)!
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",3,Presentación y sazón excelente ahora lo que tiene que ver con el servicio y limpieza excelente también lo único que puedo quejarme es el de la carne qué es pésimo sabor no es tan rico se nota que su fuerte es todo lo que es pollo.
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"Lugar amplio con AC y estacionamiento, para ir en grupo o familia"
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",5,"Pollo sin condimentos para comer sano, podrían darle un poquito de más sazón."
Primos Chicken Bar La Molina,"-12.0930607,-77.2370447,11z",4,"El sabor del pollo es agradable, pero no es nada del otro mundo. Eso sí, la atención es rápida y buena. El sabor de las papas es lo mejor."
