titulo,coordenada,calificacion,comentario
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"La decoración es simple pero linda, no es acústica,(mucho ruido)la comida exquisita,pero la limonada de hierba luisa deja mucho que desear, era agua con azúcar(S/24.00 ,no lo valen).Tienen muy buena atención,el personal amable. Podrían mejorar su jalea"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Ambiente agradable,excelente servicio y la comida muy buena, me gusto todo!"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",1,"Es la segunda vez que vengo aquí desde que abrió refugio, la primera vez con amigos gastamos alrededor de 650 soles en tragos y dejamos buena propina por el gran servicio, lamentablemente esta segunda visita me sentí muy ignorado por el…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",3,"Lamentablemente no fue una grata visita, primero desde que llegamos la atención y la disposición de mesas no fue rápida.…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Todo excelente! Gran compromiso con el servicio, constante evolución en la comida y los sábados invitan a un grupo musical, que completa la experiencia!"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,Me encanta por qué sus platos son deliciosos y la atención es buenísima
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Super ,me encanta  los platós son  deliciosos, lss bebidas y la atención A1"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Un lugar auténtico, bien cuidado y con mucha variedad propia de la familia que nos acerca mucho a la real comida del rico norte! 😍…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",2,"Pedí el ceviche puerto mancora y se veía agradable en la carta, pero el plato sabía a pura mayonesa, el pescado insípido, la cebolla aguachenta y la palta y mango estaban de más. Lo único bueno que se pudo rescatar del plato fue el camote…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Puerto Máncora siempre te deja gratas emociones. Desde su amplio estacionamiento, su atenta recepción, la asistencia para escoger los platos, y esa complicidad con todos los que allí trabajan, te invitan a regresar. Los precios, y están…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",2,"Lo peor  el ceviche tenia demasiado Ajinomoto,peor que de carretilla. 120 gm de pescado por 50 soles. El tiradito tenia aun menos pescado. Y el chaufa de mariscos estuvo bien, nada wow. La sazon y las porciones no corresponden con lo que se paga."
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Buen lugar, rica comida, buena atencion, el costo es alto para un almuerzo, pero el sabor, el ambiente y la atención compensan el precio... regresaré"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",1,"Muy mala atención, los mozos no sabían en qué mesa eran los pedidos y la leche de tigre caliente"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,Comida Peruana: Especialidad frutos del mal. Una fantástica opción para comer variedad de platos peruanos. Relación Calidad/precio aceotable. El servicio atento pero un tanto lento.
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"El arroz con conchas negras buenísimo, me encantó y recomiendo ""Pescado del huerto"" también.. En la terraza del restaurante atendió Fernando. Todo muy limpio y acogedor."
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,El lugar es muy limpio y la atención como en casa. La comida espectacular. Me pedí un tacu tacu a lo macho y fue increíble. Existe una buena relación entre la calidad y el precio.
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Ceviche con excelentes insumos, preparado con delicadeza. Hay tríos marinos muy convenientes. Pidan también el arroz thai, muy bueno"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",1,"Muy Caro,es más Decoración q Sabor, un Ceviche de pescado con trozos grandes,a la vista no te dan ganas de comer, vez el pescado crudo,arroz con pato,salado y arroz sancochado, parecia guiso de arroz,lo cambié x pescado frito, q me traen?…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Exelentes platos   ahora complementan o hacen mix  con Makis  japoneses buenazo
Mi favorita  la causa..."
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Excelente comida, buen servicio,precios razonables"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Muy bien la reapertura, un buen point en La Molina para comida marina norteña, le Leche de Tigre Carretillera muy buena, la causa y el Ceviche muy ricos, incluso la canchita muy rica y crocante, además la atención estuvo muy buena, personas prestas y amables"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",1,"Muy buena la atención !!!! La comida mala me pedi unos choritos ala chalaca que estaban sin gusto, Luego el arroz con pato con mucho aderezo y el pato muy guardado y  el sudado de chita realmente muy feo  sin nada de  gusto"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"La comida es deliciosa!! Las bebidas podrían mejorar, pero depende de cada gusto 😉…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",3,"Pedí un ceviche con el pescado especial. S/69 el plato, pero además de ser realmente unos pocos trozos de pescado, el choclo era de ayer (???) el camote estaba terrible (duro, desabrido ) y con el poco de pescado que comí me sentí estafada.…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,"Muy rica la comida, mariscos de primera calidad ."
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"La atención es lenta sin embargo se nota que son atentos con el cliente durante y después de comer, la comida 4 estrellas le falta un poco más de sabor para tener ese ceviche norteño, buena calidad de insumos que va de acorde al precio. Lo único malo es que las sillas son incómodas."
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",3,"Mucha gente los domingos, mal acústica.
El tiradito de pescado natural fue una decepción, mala presentación.
No traen los platos al mismo tiempo, con diferencias de hasta 25 minutos. Los modos no son muy atentos porque están muy ajetreados"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,Muy rico todo excelente opcion
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Buena la comida y la presentación del plato, la atención si estuvo descuidada."
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",5,Me gustó mucho el lugar sus tragos su comida todo excelente 😋…
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Todo muy rico, cumpliendo con lo protocolos 🍴🥤🍺…"
Puerto Máncora La Molina - Comida Marina,"-11.9985068,-77.161702,11z",4,"Muy rica comida, he regresado después de años y encuentro una carta renovada y muchas alternativas. Son super rápidos y bien servicio"
