titulo,coordenada,calificacion,comentario
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Todos sus platos muy ricos y lo mejor que preparan rapido. Se recomienda a todos. 👍🤙…
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,"Excelente , buena comida y en el tiempo preciso   Luis Ramos ,"
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy rico todos sus platos.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Todo muy rico y muy bien servido. Lo recomiendo a ojos cerrados.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,"Se los recomiendo, todo muy rico!!"
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,"Todos sus platos muy buenos, el lomo chaufón buenazo."
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Delicioso y hay que repetir...se los recomiendo..😋😋😋…
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy buena comida y llegan en el tiempo establecido.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Bueno es muy buena la comida excelente
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Todo muy rico y la comida llega súper rápido.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Excelente la comida esta buenazaaa
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy buena comida en el tiempo indicado.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Buenísima comida .. el mejor lugar ..
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Todo muy rico!!
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Excelente sazón muy recomendado.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,"Buena comida, fresca y buena atención!"
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,"Comida muy rica, 100% recomendado"
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Excelente comida y muy buena porcion.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy buena comida.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,De lo más delicioso del mundo mundial!!
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Calientito y bien taipa.... muy feliz
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy buena comida
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Todo muy rico.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Excelente  y buenisima comida
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Todo muy bueno!!
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy buen servicio👍lo recomiendo…
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy bueno
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Comida muy buena y deliciosa
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Comida muy rica!!
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Buena zazon me encanto
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Excelente comida👍🏼…
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Comida muy rica y variada
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,De lo mejorcito que hay en Lima 😊…
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Buenazoooooo lo recomiendo
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Muy bueno.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Excelente servicio
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Me encantó!!
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Buenazo.
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Comida exquisita!!
Punto & Sabor,"-12.1167699,-77.0282922,17z",5,Buenazo todo!!
