titulo,coordenada,calificacion,comentario
Rem La Molina,"-12.0930607,-77.2370447,11z",5,"Muy bello, es una excelente lugar para recrearse y pasarla en Familia"
Rem La Molina,"-12.0930607,-77.2370447,11z",4,Buen lugar para tomarse un relajo!
Rem La Molina,"-12.0930607,-77.2370447,11z",5,"Super tiene la pizza vegetariana q me gusta, aunque tenga mozarella"
Rem La Molina,"-12.0930607,-77.2370447,11z",5,Tranquilidad y buena vista lo maximo 😊…
Rem La Molina,"-12.0930607,-77.2370447,11z",4,Me justa.. Lugar agradable
Rem La Molina,"-12.0930607,-77.2370447,11z",5,Bien
Rem La Molina,"-12.0930607,-77.2370447,11z",5,Super  tranquilo
Rem La Molina,"-12.0930607,-77.2370447,11z",5,Zona tranquila
Rem La Molina,"-12.0930607,-77.2370447,11z",4,Bonito
Rem La Molina,"-12.0930607,-77.2370447,11z",4,Bonito
Rem La Molina,"-12.0930607,-77.2370447,11z",5,De lo mejor
Rem La Molina,"-12.0930607,-77.2370447,11z",3,Ok
Rem La Molina,"-12.0930607,-77.2370447,11z",5,La Molina Is the cream of Lima
