titulo,coordenada,calificacion,comentario
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"Al llegar cuenta con valet parking, anfitrión y meseros muy atentos y amables. Inmediatamente sirven pancitos con mantequilla que te los cobran. La comida es buena... Calidad/precio en general por la ubicación es buena. La parrilla Vista…"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"Este Lugar nos cautivo desde que llegamos. Sorpresivamente su atención comienza desde que te estacionas y te abren las puertas del auto para recibirte. Luego Una Moza,te saluda y con El respectivo protocolo,te ofrece alcohol en gel. Y te…"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"La comida es deliciosa y su limonada ni que decir simplemente deliciosa, mi favorito fue su tallarín al Alfredo! 🍝Su carne es muy rica! 🥩Y la ensalada tiene un toque de limón riquísimo! 🍋🥗Por otro lado los postres son muy buenos pedimos un brownie con helado y un cheasecake 🍫🍨. 5/5! 👏🏻…"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,Una sabrosa y apetecible presentación de buenas carnes con una experta preparación y una atención personalizada...sus cocciones en su mejor punto mantienen a Vista Alegre en el mando de los fuegos aquí en Lima...
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",4,"El ambiente es acogedor y ventilado. La atención es muy buena. Pedimos un lomo saltado y salmon con rissoto de champiñones y verduras. Estuvo rico, sólo un poco salado el salmón. La limonada con hielo refrescante."
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"Volví después de mucho tiempo y me quedé sorprendida con los cambios que han realizado en el local, los ambientes excelentemente diseñados. La atención del personal de primera y ni qué decir de la comida, delicioso todo!! Pedimos la…"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",4,"Primera vez que probamos este lugar, la carne estaba rica al igual que el chorizo, ensalada y papa. Lo que más nos agrado fue la atención, super amables desde antes de entrar. Y los precios van de la mano con la calidad de la comida. Definitivamente volveremos"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",2,"Comida rica. Servicio y sobretodo responsabilidad, pobre. Llevamos 2 botellas de vino. Abrieron una, nos sirvieron 4 copas. Vino otro mesero (en foto), tomo nuestra botella y le sirvió lo que quedaba a la mesa de al lado. Nuestras botellas eran reserva y quisieron darnos una copa de la casa. En resumen, NO PIERDAN DE VISTA SUS BOTELLAS!"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"Excelente servicio, excelente menú, buen amviente"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",4,"La parrilla muy buena y los complementos también. La atención es buena y el local es bonito. Sin embargo, el precio de la sangría que no estaba en la carta fue absurdamente caro. NO PIDAN LA JARRA DE SANGRÍA que está 75 soles."
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",1,"Un desastre, pedi ribs y tuve que devolver el plato enterito y lo peor que me cobraron igual los 65 soles que pagué. Estaba super pasado de coccion y totalmente seco"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"Riquísimo, nada que envidiarle al Hornero o al Charrua, carne de excelente calidad!!!…"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",5,"Recomendable.todo deli, todo excelente."
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",1,"De los 10 años que voy a consumir a este restaurante definitivamente es el peor, muy mal servicio de los mozos, no prestan atención, se demoran en imprimir una factura y encima nos obligan a consumir pan. una decepción ni mas vuelvo"
Restaurante Cabaña Vista Alegre,"-12.1440338,-77.0758734,13z",4,"Restaurante de parrillas agradable, los precios promedio van de 40 soles para arriba. Lo que sí no te dan como opcional sino obligación el servicio de panes , 8 panes para 4 personas con 4 mini mantequillas son 32 soles, cosa que en otros…"
