titulo,coordenada,calificacion,comentario
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,"Muy buena atención,precios cómodos, ambiente tranquilo.comida agradable"
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Muy rico toda la comida.. recomendado!!
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,Buena comida a un precio accesible.
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Los platos variados y buenazos y la atención de primera.
Restaurante Capon,"-12.1181598,-77.0226247,17z",3,"La atención es amable pero no atenta. La comida es buena, bastante recomendable. Sin embargo, el costo de la comida es honerosa (2 personas = S/100 aprox). Los SSHH no son  excelente, pero limpios, aunque le daría una refaccionada."
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,Buena atención y la comida muy buena!!!!
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Delicioso muy buena atención
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Muy bueno
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,"Cómodo, amplió,  buena atención, buena sazón,  precios aceptable, atención rápida,seguro."
Restaurante Capon,"-12.1181598,-77.0226247,17z",3,"Muy buena atención, sus platos 7 de 10"
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Excelente sazón. Buenazo
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,"Muy buena comida , atención esmerada"
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Muy buena atención y buena la cena.
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,"Elegante y muy buena atención, recomendable."
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Excelente restaurante tipo chifa con buena atención
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Buenaso
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Excelente chifa y con buen precio en sus Menús. También recomiendo el Pollo con Almendras en plato a la carta.
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Excelente comida
Restaurante Capon,"-12.1181598,-77.0226247,17z",2,Ha bajado su sazon cuando era salon capon era muy bueno y tambien subieron sus precios hay que mejorar
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,"Lugar acogedor, buen arroz chaufa."
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,Deliciosa comida china a precios moderados.
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Excelente comida
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Bonito lugar!!
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,Que rico. Pollo
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Se come rico....
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Ahora se llama Dragón
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,Buena comida
Restaurante Capon,"-12.1181598,-77.0226247,17z",3,Cumplidor
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Excelente
Restaurante Capon,"-12.1181598,-77.0226247,17z",5,Rico
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,Buen chifa
Restaurante Capon,"-12.1181598,-77.0226247,17z",4,"This place is nice for lunch. I've never been here for dinner, but I'm sure the foods here is very good! I always come here when craving for roasted duck.…"
