titulo,coordenada,calificacion,comentario
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",5,Me gusto  sus platos a la carta él precio es justo
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",5,Muy lindo limpio y a mables
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",5,"Muy bueno
Lo recomiendo"
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",5,"Buena atención ,bien aseado ,comida deliciosa"
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",3,Se atiende con fluidez y un poco la demora
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",1,La carne sabe a raro
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",5,Lo mejor en solo sitio...
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",3,Exelente
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",4,Excelente servicio
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",2,Atención razonable
Restaurante Chifa La Molina,"-11.9985068,-77.161702,11z",5,Excelente 🤤…
