titulo,coordenada,calificacion,comentario
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",3,"Es un espacio pintoresco, con música y ambiente agradable inspirado en un toque peruano criollo. La comida no es su fuerte, es agradable pero sin esperar nada espectacular. Sugiero que no pidan cebiche o leche de tigre, están perdidos en preparación y sabor."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,"Excelente comida y servicio. Tienen mucha variedad de comidas. Tiene dos menús de 15 y 20 soles cada uno, con dos platos a elegir e incluye una bebida que ellos te ponen. A ver... Si quieres comer algo rápido y barato está muy bien el menú.…"
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",2,"Regular. Esperaba algo mejor, para ser un Menú fue aceptable, sin embargo el sabor puede mejorar. Nos cayó mal la comida luego."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,"Si ,muy rico .Recomiendo que pidan pisco sour y chilcano es uno de los tragos que más me gusto ."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",3,"Buen servicio, amables, falta surtido de cervezas cusqueña, la comida mmmm...... digamos que regular"
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,"Excelente atención,excelente sazón y local muy simpático, ordenado y limpio."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,"Buen lugar, menus de 15 y 20 soles y terminas satisfecho jaja"
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,"Excelente comida, a un precio accesible y son muy serviciales."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",2,"La atención deja mucho que desear, atendieron primero a otras personas que llegaron después, olvidaron de servir la entrada, particularmente no volveré a ese lugar."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,La verdad cumple con muchas de las expectativas q ofrece a la clientela. Le califico con 5 estrellas
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,"La comida excelente, sus precios son accesibles, la atención es buena pero sobre todo la comida es una delicia...también puedes llamar y pedir tu plato favorito ellos te lo preparan. 100% Recomendable."
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,Excelente sitio donde poder disfrutar la mejor gastronomía peruana
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",3,Es un restaurant limpio y agradable
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",4,Genial!
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",4,Buen lugar para almorzar...
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,Buena sazón
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,Rica comida
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,Recomendado
Restaurante El Limeño,"-12.1211923,-77.0312256,17z",5,The food is really good and at a good price. I had ceviche and bistec de pobre for 15 Soles.
