titulo,coordenada,calificacion,comentario
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",3,"Habían zancudos ,su carta es muy variada el Arroz con pato demasiado simple ,el lomo buenazo y arroza chaufa amazónico bien,deben fumigar."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Excelente atención todos los platos muy buenos, super recomendado"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",4,"La comida es muy buena, creo falta variedad de bebidas pero realmente es muy buen restaurante. La atención depende de quien te atienda, a veces es súper buena y algunas veces es meh. Sus salsas también son muy buenas. Por más que este no es la cevichería, su comida marina no baja de calidad."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Vale la pena visitar y saborear sus deliciosos platos y su calidad y precio son justos.  Hay buena atención y muy bien decorado.
Los platos aparte de sabrosos se presentan con creatividad.…"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Buen lugar para pasar en familia, la comida excelente y buena atención del personal"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",4,"Lo positivo: Comida muy buena y variedad en los platos.
Lo negativo: demoran demasiado en atender y servir la comida,  no cuentan con estacionamiento y su ubicación es algo complicada y peligrosa."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,Había olvidado lo rico que se come cerca al trabajo 😋…
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Excelente lugar para compartir en familia, Ricos platos los recomiendo y muy buena atención."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",4,Muy buena atención y comida excelente y bien servido
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,La atención muy buena y el.servicio de comida no demoran solo que el ambiente se hace pequeño por la.demsnda de público.
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Genial la atención, es importante también no ir a hora punta para poder disfrutar mejor el espacio. La comida muy buena."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",4,"Buena atención. Cochera a media cuadra. Buena sazón. Buenas porciones. La jalea de pescado estaba buena pero un tanto grasosa. La causa de pollo rica, con el relleno un poco salado (cuestión de gustos). El lomo saltado bueno, carne suave y papas crujientes, arroz muy agradable. La maracuyá rica. Dos pisos con full de gente."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Excelente, trago de cortesía por tu cumpleaños 😊, variedad de platos.…"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,EXCELENTE COMIDA. BUEN AMBIENTE. BASTANTE HIGIENICO. COCHERA SEGURA. BUENOS PRECIOS. BUEN ATENCION. SOY ASIDUO CONCURRENTE.
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",3,El farolillo de surco sabor agradable  pero la atención  muy pésima  traen los platos cuando ya te estas yendo
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",1,"Ha cambiado mucho el farolito desde la última vez que visite, empezando con los cubiertos que antes venía elegantemente con su estuche de papel y ahora te entregan como menú de 10 soles, por otro lado la demora en servirte es demasiada más…"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,Su pollo a la brasa buenísimo y sus platos ecelentes
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",4,Muy rico la comida
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",1,Buen pollito papa bien servida como para buen pobre
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,Uno de los mejores pollos ala brasa que he comido.. recomendado
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",1,"Ahora en verano  no tienen ni ventilador , un terrible calor y el aire acondicionado esta por las puras"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,Excelente comida y buena atención. Genial para ir en familia
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Muy bien sitio! Me atrevería a decir que es de los mejores pollos en brasa que me he comido en Lima y no solo el pollo, las papas fritas son una delicia! Muy recomendado, la atención es muy buena incluso de los colaboradores que no atienden directamente publico, también las porciones son bondadosas
Muy recomendado"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,La causa acevichada una delicia!! El plato *farolito* muy bueno 👌…
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",3,Presentación del plato y el sabor muy buena
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",4,"Muy buena comida local grande amplio, buena atencion, muy concurrido, hay que esperar por una mesa si es fin de semana, día de semana esta concurrido, pero no esperas mesas"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,"Recomendado: Seco de Cabrito, Arroz con pato, Ceviche, lomo saltado"
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",3,"Buen restaurante para ir en familia, el ambiente es pintoresco y llamativo ademas que sirven un buen pollo a la brasa. La unica observacion es que la atencion demora especialmente si quieres para llevar. Y no hacen por delivery."
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",5,Sitio especial para comer en familia. Buena comida y buena atención.
Restaurante Farolito de Surco,"-12.1440338,-77.0758734,13z",3,"No vayan en festividades, la atención es lenta o se demoran en traer tu pedido, pedí dos ceviches y solo trajeron uno, el otro después de 30 minutos cuando mis familiares ya estaban terminando sus platos."
