titulo,coordenada,calificacion,comentario
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",5,"Para ser un menú, sirven muy bien, se come rico y es barato! La atención es cordial y rápida!"
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",4,"Buen menú, barato y casero"
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",5,"Es el mejor menú de Miraflores, voy desde el 2011 y sigue siendo uno de mis favoritos. Cuesta 12 soles con entrada y sin esta sale a 9."
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",5,Rica comida y bien servida. La sazón es bastante suave y da la impresión de ser comida casera.…
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",4,"En general buena atención y alimentos de las mejores sazones de menús cercanos, sólo que no son muy amigables con el medio ambiente, todo se atiende en plásticos descartables, se puede mejorar ello."
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",5,Buena comida y mucha calidad de servicio.
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",3,Está bien para el almuerzo de trabajo. El lugar tiene muchas mesas pero se llena a la hora del almuerzo así que hay que llegar con tiempo. La sazón no es wow! Pero está bien.
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",4,Los mozos no atienden bien
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",3,"Ambiente agradable, buena atención, su menù no tan rico. Relaciòn calidad precio no muy buena."
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",5,"Se siente como comer en casa, ambiente y personas muy cálidas y la comida riquísima, aparte que sirven abundante siendo menú."
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",1,"por lo visto debe ser por la pandemia.pero servir en mesa con platos de plástico.cubiertos de plástico.y vasos desechables.en un menú poco sazonado
para cobrar un precio no aceptable por la cantidad y calidad. muy mal"
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",3,"Agradable ambiente y comida de casa, nada especial pero buen sabor."
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",3,"Un lugar económico en donde probar comida local. La calidad de la comida es variante, yendo de regular a muy buena. La atención en hora punta es caótica."
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",5,"De verdad que tiene variedad en sus platos, buen sabor, y la atención es rápida, de lejos a un kfc, bembos, etc"
Restaurante Grimaldi,"-12.1220962,-77.0310092,17z",4,"muy buena su comida, es hogareña y muy rica. Es bastante cómodo el precio de las comidas, la atención muy servicial, agradable y amable."
