titulo,coordenada,calificacion,comentario
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"He ido hace muchos años para probar su plato que es como un especial de la carta, el lomo saltado. Es un plato rico, buena sazón, pero muy excesivo en precio para lo que considero gran calidad. S/.19. Que si bien, no es feo, pero he probado…"
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"Excelente menú, diversas opciones y buena atención. Diversos medios de pago. Puedes cambiar los segundos a tu gusto: reemplazar el arroz por ensalada, sin papa, etc."
Restaurante Luren,"-12.1211923,-77.0312256,17z",1,"Pensé que cocinaban bien, pero estuvo fatal el menú. Aún les falta mucho."
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,Después de buen tiempo lo visitó! X la hora no pude degustar su sopa a la minuta que fue el primer plato que consumí hace muchos años. Que bueno que siga funcionando! Ahora con los protocolos d Bio seguridad y el buen trató de siempre.
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"Comida casera, de buena calidad, recomendable su milanesa..👍 buena atención, ambiente acogedor.…"
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,Muy buena atención ademas de decir que sus platos tienen un precio económico con respecto a la cantidad que sirven excelente lugar además de contar con wifi
Restaurante Luren,"-12.1211923,-77.0312256,17z",3,"La comida es buena, sana, falta mejorar su local y limpieza sobre todo los baños."
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"Voy comiendo en éste restaurante por casi 10 años, y tengo que decir que gracias a la pandemia el baño está limpio, ordenado, el salón ordenado, tiene otro aspecto y doy gracias a la pandemia, sólo hay ciertas cosas que podrían mejorar más."
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"La comida muy rica... Solo que deben tener mayor cuidado con la limpieza pq encontré unas cucarachitas por las paredes, lo demás todo bien."
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"Comida fresca, postres ídem, pronta atención, se puede pedir comida con poca sal o un jugo tibio, esmeró en agradar a cada comensal, me gusta."
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,No hay duda su menu expectacular cuando comi ahi retrocedi a la comida de mi madre o de casa muy rico
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"La comida es deliciosa, contundente y lo mejor, esta al alcanse de todos los bolsillos a comparación de otros restaurantes de Miraflores."
Restaurante Luren,"-12.1211923,-77.0312256,17z",3,Muy buena comida peruana. El menú o carta varía en platos peruanos bien preparados para el costo q cobran.…
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"Acogedor, variedad de platos tanto de menú como a la carta. Sirven bien."
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"La comida exquisito y la amabilidad de su personal muy buena, se las recomiendo a todos que vayan a Lima 😉…"
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"El chaufa de Pollo o Carne criollo espectacular.sopa wantan igual, me gusta la sazon. Rica chicha morada LO malo no aceptan  TODO ES EN EFECTIVO"
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"Es un lugar económico, la comida es  regular y atienden todos los días"
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,Una buena cena. Un arroz chaufa rico
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,El lomo saltado muy rico. Buena atención y rapidez
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,Buen restaurante local
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"Excelente comida,  además de la crema volteada."
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,Bueno bonito y ...algo barato.
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"RESTAURANTE LUREN.-Es un restaurante ubicado en la Av. Ricardo Palma a 20 mts. de la Av. La Paz en Miraflores.Es un restau rante bien conocido en Miraflores ,hacen menu todos los dias ,generalmente entrada sopa de la casa o papa a la…"
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"Comida como hecha en casa, buenos precios"
Restaurante Luren,"-12.1211923,-77.0312256,17z",3,Es bueno como para probar una de sus sopas
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,Muy bien
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"Buena sazón, buen servicio, un lugar con tradición."
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,La leche asada es muy buena
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,"Bueno, un lugar agradable"
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,Hay buenos almuerzos
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,Rico y barato
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,Bueno
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"Buen servicio, como siempre."
Restaurante Luren,"-12.1211923,-77.0312256,17z",4,Platos variados y cómodos.
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"Excelente comida fresca,del día...."
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,Muy bueno
Restaurante Luren,"-12.1211923,-77.0312256,17z",1,Atención regular
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,Bien
Restaurante Luren,"-12.1211923,-77.0312256,17z",2,Simple
Restaurante Luren,"-12.1211923,-77.0312256,17z",5,"An unpretentious diner with good food, good prices and large portions."
