titulo,coordenada,calificacion,comentario
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,"Un restaurante bien ubicado en la Av. Javier Prado, también conozco otro en Av. San Luis en San Borja. Tiene lugar de estacionamiento y bien cuidado. Es de muy fácil acceso si van con taxi o con el corredor rojo. Tiene una recepción muy…"
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",4,"Lo visite el jueves pasado. Elegimos la opción de pedir para llevar, por pandemia, aunque siendo sinceros cunado llegué a recoger, no había muchas personas, y las mesas estaban distanciadas y el personal cumplía con el protocolo. Tiene una…"
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,"Los visité con mi familia el día de hoy. Pedimos milanesa, shambar, un plato con pato y otro de res. El tiempo de espera para que traigan los platos es corto, no demoraron mucho. Los meseros amables y atentos. La carne muy suave y caliente,…"
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,"La comida es deliciosa, de preferencia su cebiche, lo que si deben mejorar es su pollo saltado, pero todo lo demás excelente!"
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,Riquísima comida peruana ... Para deleitar el paladar .  Imperdible lugar si van a la Molina. Platos y presentación únicos y frescos
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,"La comida es muy rica, el lomo a buen termino, porciones generosas y la atención es excelente."
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",3,"El precio es muy excesivo para la calidad y el contenido de los platos. Pedí una jalea mixta y el sabor de esta no era muy bueno, no pude terminarlo debido a que sentí que me caería mal (lo que al final sí sucedió)."
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",4,"Lomo saltado muy rico, fettuccini con lomo fino y fuente de ceviche para 2 muy bueno 👌 lo recomiendo.…"
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,"Muy bueno, la comida y la atención ew A1"
Restaurante Moche La Molina,"-12.0930607,-77.2370447,11z",5,"Nos llevó gente que lleva viviendo el Lima toda la vida, con eso lo digo todo. Si estás visitando la ciudad y quieres auténtica comida norteña no puedes dejar de visitarlo."
