titulo,coordenada,calificacion,comentario
Señor Limón La Molina,"-11.9985068,-77.161702,11z",3,"Buen sabor. Los precios un tanto elevados, pero creo que es por la zona de donde esta ubicado. Lo bueno que a parte de los mariscos venden platos criollos. Buen sabor, recomendado. El local es muy chico y en verano es muy caluroso dentro del pequeño local."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Lugar pequeño pero acogedor de comida marina, aunque también tiene algunos platos criollos y pastas. Muy buena sazón, cantidad, calidad y precio acorde."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Muy rica la comida, he tenido la oportunidad de pedir delivery gratis y me ha llegado todo conforme y fresco en especial el fetuccini con lomo a la parrilla. 100 % recomendado 😀😊…"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",4,Muy rico los fetuccini a la huancaina con lomo saltado aunque habia un poco de hueso en la causa de pulpa de cangrejo todo lo demas platillos estuvieron bien.
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"La comida es mmuy rica en especial el fetuccini a la huancaina con lomo saltado que sale en sus videos. Les recomiendo ir los dias semana de 12 a 1 porque está más libre, como el local es pequeño a esa hora hay mesas vacias todavia, su piña colada es muy buena."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",2,"Ayer pedí chupe de camarones por delivery, realmente muy malo, era una sopa cualquiera con 8 cabezas y unas 7 mini colitas de camarones de aprox 2 cms. de diámetro. Sabor a camarón no tenía nada y sí mucho arroz.  Decepcionada totalmente,…"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",4,"Todo  bueno, pero el ceviche , regular, le pongo 3.8. Solo xq creo q el plato principal (ceviche) debería ser el mejor, sino le pondría más."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"He probado el matrimonio, muy rico. 100% recomendado. Y el trago caipiroska muy rico."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"La mejor cevicheria :) he pedido un tacu tacu y estaba buenisimo, 100% recomendado, siempre tienen promociones de tragos"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",3,"La comida es igual , el servicio también es bueno, pero el ambiente es muy chiquito. Y no hay estacionamiento,  si tienes suerte lo encuentras frente del restaurante."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Muy buena comida excelente cebicheria, todo muy bien."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",4,"Excelente  platos. Promedio 45 soles ($12
US) Jarra refresco de chicha morada 24 soles. Ambiente reducido. Estacionamiento muy limitado"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",2,"Fui con mucha expectativa, pero salí desilusionada. La leche de Tigre tenia bastante sabor a kion y ajos, los trozos de pescado del ceviche cortado demasuado grande, literal tuve que cortarlos en el plato. No regresaría por el costo versus la comida"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Muy buena sazón, promociones y cantidad"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Lindo lugar, buena comida por eso para repleto los domingos y no se puede hacer reserva los fines de semana"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Excelente comida, buena atención.
Lo único es que es muy pequeño para la cantidad de gente que se queda esperando afuera esperando que se desocupe una mesa.
Me refiero al que está en Flora Tristán"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",1,"Pésimo con el delivery, solicite a las 5:10 una pizza hawaiana y americana, a las 6:20 llamo y ¡Oh sorpresa! la que contesta me dice: ""Ay, justo acaba de llegarme"" ¿que raro no?  Y me dicen que demorará 25 minutos MÁS de lo que ya había…"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",4,"Muy rico la atención es buena, pero puede mejorar su sabor!!! Recomendado!"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",4,"Es un lugar bien ubicado, el restaurante es limpio y simple. No es muy espacioso pero es cómodo. La atención es realmente muy buena. El tiempo de entrega es muy rápido. Las pizzas son grandes y buenas, en serio son buenas. La pizza…"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Sus Alitas Bbq con papas fritas son lo máximo, también he probado su Fettucini al Alfredo y 100% recomendado. La carne de su lasaña son muy ricas y ni que decir del pancito al ajo."
Señor Limón La Molina,"-11.9985068,-77.161702,11z",4,Lugar tranquilo para comer y beber un poco
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,Muy bueno todo.
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Buenísimo, los precios no son altos, el sabor es buenísimo, he probado las alitas, las pizzas y la lasagna. 10 de 10.…"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"El pulpito a la parrilla es muy rico, no hay pierde. Además tienen una promocion de leche de tigre a 9.90 todos los dias"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",3,"La cancha tiene mucho aceite ,tenedores rayadisimos, tiempo de entrega tarda.comida bien"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",3,Ceviche y chicharrón de pescado desabridos. Decepción.
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"La mejor cevicheria de La Molina, tienen una jalea mixta muy rica y si piden el piqueo señor limon quedaran satisfechos"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Muy buena la comida, buena atencion"
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,Demasiado bueno
Señor Limón La Molina,"-11.9985068,-77.161702,11z",5,"Probé la lasagana y uuuf súper rica, full sabor, con salsa bechamel carne y crema, ligera sin caer pesada. Me encantó!"
