titulo,coordenada,calificacion,comentario
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Buena experiencia para bailar música de todos los ritmos, buenos platos de comida y un ambiente muy bueno para disfrutar en familia"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Exelente lugar buena atención..buena música y excelente diversión..
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Ambiente agradable, buena musica en vivo, hay que reservar con tiempo siempre para lleno. 9 de 10 puntos. La comida bien y los precios justifican lo que te sirven. 👍…"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Ambiente agradable, para pasar un buen momento, ofrece variedad de platos especialidad en parrillas, también ofrecen variedad de tragos como cervezas nacionales, además cada noche presentan espectáculos, como música de antaño, salsa y criolla, cuenta con una orquesta estable."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Buena música y comida. Mala ventilación del lugar, fue tan con grandes ventiladores pero al haber tantas personas solo sigue girando el aire caliente y viciado"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Un lugar excelente para bailar salsa con orquesta allí pase parte de mi cumpleaños cuando vayan me llevan y bailamos 😁…
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"La comida muy rica pero las mesas son angostas. La musica estuvo buena.
Lo único malo fue que habian RATEROS, le abrieron la cartera a mi mamá mientras estaba bailando y ella los filmó. Estas personas conocían a los meseros, a la…"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Un lindo lugar para compartir con amistades y en familia..las presey son excelentes!!
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Muy buen lugar para divertirse con la familia y amigos
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,La comida es rica 🤤 y un citio divertido para bailar salsa toda la noche.…
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Buenazo..!! además, música en vivo para estar con tus amistades"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Cumpleaños de mi hermana, y lo festejamos ahí, buena la atención y cómodos precios...!!"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Su grato ambiente, la atención esmerada, el show y sus platos a la carta los felicito porque. su esfuerzo por mejorar cada día se va notando."
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"El show de Viviana Sancho Dávila es muy bueno.Por lo demás, se mantiene igual, solo se elevaron los costos: Debería permitir el pago por corcho, pues la variedad de pisco es limitada."
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Muy buena la Orquesta y la comida muy buena.
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,La pasamos genial reunión de la promoción 86 muy buen show en vivo  buena musica y muy buena la comida!!
Señorío De Surco,"-12.1440338,-77.0758734,13z",1,Espero que mi publicacion lo timen en cuenta lleve a ina amiga que visita al pais y lo que ofrecen es una oeña turistica y silo cabtavan cumbias salsa el espacio reducido sin tomsr las medidas de bioseguridad  el servicio higienico de lo peor rotos  sucio que mal imagen me lkevo ni para recomendat gracias
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Muy bonito y buen lugar para brindar y pasar un lindo momento
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Su comida muy rica y un muy buen ambiente con música en vivo. Mínimo 40 soles de consumo por persona 🙌🏼…
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Cada vez que regresa algun familiar y amigo vamos a este peña, es fantastico 🤗❤🐬🌏🌈♋…"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Buen ambiente, precios accesibles, buena música, buena atención. Pero el lugar es pequeño, no tiene playa de estacionamiento."
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Lindo lugar, buena comida tambien excelente show. Muy bueno para bailar"
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"Muy bonito el espectáculo, el cantante muy alegre, una sugerencia, las mesetas no deben estar pasando delante del cantante con sus bandejas, lo incomodan y deben coordinar para qué el espectáculo sea mejor. Cuando se hace una reserva que se respete ."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Agradable ambiente y sus shows en las noches con buenos exponentes de la musica criolla, precios ligeramente altos y su parrilla de agradable sabor. Punto en contra no hay estaciónamiento más que en la vía o playas que a veces lucen llenas, atención de mozos normal."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Buena atención, los tragos han mejorado mucho y los anticuchos están súper buenos, en el show (telonero) los cantantes deberían de estar más alegres, parecía que estaban cansados, pero el show principal está OK y debería empezar un poco más temprano"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Buen lugar para comer y disfrutar de música en vivo.
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"La atención buena, la música buena la comida un 8 de 10, pero el tiempo que se demoraron en traer la comida un 2 de 10. Mucho tiempo para una parrilla, mejoren eso y bajen un poco el volumen que ya no se puede conversar."
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"Bonito espectáculo, pero la comida a bajado su calidad y los tragos no están hechos por barman peruanos, para el precio es muy poquito y mal hecho...."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Es un buen lugar para pasar momentos agradables y compartir buena comida ya sea entre amigos o familiares y con show musical los fines de semana en las noches
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Un lugar cálido y agradable para compartir con los amigos. Se puede degustar diversos piqueos deliciosos. Buena música
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"Muy aceptable show, excelente comida, precios ligeramente altos, pequeño pero bonito lugar, esmerada atención."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Buena diversión y buen show
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Buenos cantantes y buena animacion y por la presentacion de folklore peruano lo unico malo es el espacio para poder bailar
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Lindo lugar para pasar un fin de semana dónde aparte de bailar disfrutas de un show con las danzas típicas de todas las regiones del perú
Señorío De Surco,"-12.1440338,-77.0758734,13z",2,"Comida, sosa, sin sabor, ambiente pequeño, mucho humo,"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Agradable lugar para cenar  y  disfrutar de show musica en vivo y
muy variada la atencion muy buena y los costos son asequibles."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Fui un viernes por la noche, es pequeño pero tiene buena música y la comida un 8/10. Si volvería ☺️"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Excelente lugar para bailar, ver bailes típicos y compartir unos buenos anticuchos."
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Muy agradable el ambiente.acogedor .la tencion muy buena y la comida tambien.
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Bonito sitio  ,se puede bailar y comer ricos anticuchos, hay lindo show"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Bonito lugar cerca de la plaza de Surco, excelente variedad de platos, precios bastante accesible, recomendable para ir en grupo."
Señorío De Surco,"-12.1440338,-77.0758734,13z",1,"El servicio discreto, la musica terrible!!!! No es Peña criolla es un lugar no definido.... Que pena la posición es fantástica"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Me encanta los jueves disfrutar bailando buena salsa con orquesta La Fragua y bien atendidos.
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"Buena atención, buena música"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Muy buen local para ir a escuchar música y muy buena comida.
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,El ambiente es agradable la atención buena y los anticuchos que pedimos estaban ricos
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Buen lugar para bailar, tiene variedad en tragos pero una recomendación las brochetas que sean menos grasosas"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Un ambiente espetacular... Ideal para celebrar... Comida bebida y música de lo mejor
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"La pasé  muy bien,muy buena música de Carlos Orozco y la fragua,lo recomiendo..si  quieren disfrutar y pasarla bien😉…"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Buena atención y sobre todo buen ambiente excelente les recomiendo
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"La atención es muy buena. 100% recomendable para ir con amigos, familia, la novia, etc."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,lindo  lugar para bailar  viernes de salsa  conjunto musical y buena comidad
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Exelente atención .un ambiente totalmente agradable .música
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"Muy simpatico,  bueno para divertirse y tomar,  comida no muy buena"
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,Excelente lugar para bailar y pasarla bien entre amigos o familiares
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"El mejor lugar para disfrutar de un excelente fin de semana, con toda la gentita!"
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,De buen gusto la comida ! Un lugar tranquilo para pasarla con los amigos ! Precios accsesibles😜…
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Buena música, rico el pollo a la parrilla, tiene  ambiente mezanine"
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,Me gustó el ambiente pero la pista de baile es demasiado pequeña....
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Buena música buen ambiente, pista de baile muy chica"
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Lugar muy bueno y seguro para disfrutar los potajes criollos y deleite de buena musica
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,comida y la atención muy buena tragos exelentes y los catantes también exelentes todo buenísimo.
Señorío De Surco,"-12.1440338,-77.0758734,13z",2,"Buena música, gran show pero malísima atención ."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Un nuevo lugar, buena música, su algarrobina estuvo buenísima, lo mismo que su parrilla👍…"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Es cómodo.. La atención es buena. Lo único que me gustaría que amplíen es su carta de piqueos.
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,Buen lugar para comer un  anticuchito y escuchar buena música en vivo
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,Excelente show de Rock clásico y música del recuerdo los miercoles ahí...
Señorío De Surco,"-12.1440338,-77.0758734,13z",5,"Buen ambiente, excelente atenciom, buen show. Recomendable"
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Precios bastante cómodos y música en vivo los fines de semana.
Señorío De Surco,"-12.1440338,-77.0758734,13z",1,"La atension ya no es la de antes, la comida perdio calidad, sabor, como se dice lo de antaño siempre sera mejor... Ya no es recomendable"
Señorío De Surco,"-12.1440338,-77.0758734,13z",1,"Muy mala atención me tuvieron 1 hora esperando por mi pedido ..Y ensima ni me atendieron..
Mala atención..."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,"Piqueos deliciosos, buena atención, mejorar la infraestructura del segundo nivel. Muy buenos exponentes de la música criolla."
Señorío De Surco,"-12.1440338,-77.0758734,13z",3,"Punto en contra que limpien TODA la mesa cuándo aun estas compartiendo,como que te sientes obligado a consumir o a retirarte."
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,El señorío tiene música en vivo todos los fines de semana  y sus brochetas de pollo riquisimas
Señorío De Surco,"-12.1440338,-77.0758734,13z",4,Es un lugar muy agradable para todos se los recomiendo
