titulo,coordenada,calificacion,comentario
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Muy deliciosa comida, buena atención y acogedor... Hay ocasiones dónde debes de esperar una mesa, pero vale la pena la espera para degustar unos anticuchos de sabor equilibrado ni muy condimentado ni bajo de sabor, en su punto ideal...ojo…"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Excelente ubicación Excelente comida limpio rico lo recomiendo al 100%
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Muy buen ambiente, bastante tradicional, tiene el espíritu de Surco, la comida muy buena y no demoraron en servir, además lo preparan ahí mismo y los precios están muy bien."
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Maravilloso lugar el chancho al palo exelente.. delicioso... recomendado
Surco Tradición,"-12.1440338,-77.0758734,13z",4,"Clásicos Anticuchos + Rachi + Choncholie
✓ lugar imperdible si de probar la tradición de Surco se trata.
✓ muy cerca de la Plaza de Armas en Surco Pueblo ¡¡¡"
Surco Tradición,"-12.1440338,-77.0758734,13z",3,"Restaurante de desayunos típicos del Perú, este establecimiento esta abierto únicamente los días sábados y domingos. Ofrecen desayunos y almuerzos en base a su producto base que es el chancho al palo o a la parrilla. El establecimiento…"
Surco Tradición,"-12.1440338,-77.0758734,13z",1,Muy bueno. Buena sazón y buen precio. Solo que demasiada concentrado el lugar y cerrado. No guardan las medidas de bioseguridad dispuestas por el gobierno. La municipalidad debería intervenir pronto. Un gran caldo de cultivo se cocina también allí.
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Entré al Señorío de surco en la avenida Tacna. De verdad que debo hacer una queja sobre los tragos. Al inicio eran muy bajos de alcohol... Luego entendí el porqué... Cuando hicimos la queja a las meseras nos dieron más alcohol pero el sabor…
Surco Tradición,"-12.1440338,-77.0758734,13z",1,"ya no es como antes, demoran en atender, los anticuchos no estan dorados, la musica es reggaton (se supone que debe ser orientada para adultos) y el administrador no atendia los reclamos. Nunca más!!! (veo que varios suben fotos que no corresponde a ese local sino a una peña una cuadra antes)"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Atención rápida delicioso todo
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"El lugar es muy tradicional, la comida muy buena, la verdad está muy bien recomendado"
Surco Tradición,"-12.1440338,-77.0758734,13z",3,"Buen lugar, tranquilo y acogedor, la comida muy buena"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Sus anticuchos son espectaculares en su punto. Y también pedí mí choncholi bueno de verdad
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Variedad de macerados y anticucho tradicional
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Buen lugar para un desayuno familiar si no quieres gastar mucho,  atienden desde 6.30 am ."
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Me gusto el sabor de la comida y a comparación de los precios esta bien servido 😋👍…
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Buenisimo, la carta, vino, atención esmerada , recomendadusimo."
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Buena experiencia en sus servicios y rica comida
Surco Tradición,"-12.1440338,-77.0758734,13z",4,"Un restaurante muy rico, lo malo es que no hay espacios para estacionar. Pero se recomienda por el sabor que ea 110% muy bueno"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Mantiene la tradición de surco pueblo, buenas atención, sus piqueos ricos y contundentes acompañados de su rico vino surcano.  Lugar de parada obligada si van a surco pueblo por las noches"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Ricos anticuchos, todo rico ... Limpio ordenado y mejorado los ambientes."
Surco Tradición,"-12.1440338,-77.0758734,13z",4,"Todo delicioso,lo único en contra el tiempo de espera"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,este lugar es lo máximo te encantarán los anticuchos y mollejitas 100 % rico
Surco Tradición,"-12.1440338,-77.0758734,13z",3,"Los anticuchos antes de pandemia eran más ricos, están buenos"
Surco Tradición,"-12.1440338,-77.0758734,13z",4,"Los anticuchos que ofrecen están Ok, lo recomiendo"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Excelente lugar para un gustito, unos anticuchos muy ricos. Disfrútenlo."
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"El mejor chancho al palo de lima, todo el mundo deberia comerlo"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,Buen menú de ejecutivo! Muy buena atención y muy buen servicio. Lo recomiendo
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Atención A1, los cócteles son deliciosos y la comida es muy buena. Precio acorde a la atención y comida 👍…"
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Muy buena atención, hace honor al nombre, con su sabor tradicional"
Surco Tradición,"-12.1440338,-77.0758734,13z",3,"Atención al consumidor 20% demora excesiva para servir el pedido, sabor 70%, gracias."
Surco Tradición,"-12.1440338,-77.0758734,13z",5,"Muy buena la.comida
Excelente atención"
Surco Tradición,"-12.1440338,-77.0758734,13z",4,"Sus tradionales anticuchos, pancita, racchi com sus ajicitos. Ideal para darse un antojito"
Surco Tradición,"-12.1440338,-77.0758734,13z",4,"Rico sazón del mixto, rocoto sabroso."
Surco Tradición,"-12.1440338,-77.0758734,13z",3,Buenos tragos y lugar super tranquilo
